N1 N2 Na Tsplit shape1Ne shape2Ne propNtrlNe1 propNtrlNe2 M1 M2 dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo
29.4597 15.58473 25.80415 0.5 3.47789 155.87153 314 302 28.22112 28.22112 10 21.852 29.218 0 0 4.938 6.194 5.36 6.7 11.554 21.184 -9 0 0.004351 0.0076836 0.00442 0.0078169 0.0046762 0.0070764 0.0047856 0.0072313 -0.6944699 1.1042415 -0.6140654 1.1490229 0.004444 0.0077529 5.85e-05 0.0004605 0.0110189 0.0342529 0.9740232 0.00106688934105195 9.17359144450282e-05 0.00171595496599303 9.14707311926929e-05 0.00163622656500178 9.14736269156242e-05 0.0235538566230783 9.16021470887817e-05 0.818115276361572 9.15897204254225e-05 0.0136673096861283 9.1586858280474e-05 0.135386449402073 9.14499253455822e-05 0.00412568454113186 9.1443590275803e-05
24.22656 19.96603 23.08546 0.5 14.19479 14.75859 304 147 1.69356 1.69356 11 73.466 25.863 0 0 16.514 6.738 14.93 7.005 42.022 19.334 -9 0 0.0160352 0.0072871 0.0157981 0.0072526 0.0165114 0.0064002 0.0160632 0.0064151 -0.1868115 0.5786001 -0.1322073 0.5955728 0.0162232 0.007294 0.0003066 0.0007885 0.0099636 0.0218799 0.9518012 0.00731245195472349 0.000173600912604447 0.0945127198873554 0.00017346652656292 0.549782545424725 0.000173286771714958 0.132261944636922 0.000173165595389735 0.0469861235460059 0.000173465883553133 0.120912235669697 0.000173204952912907 0.0466710224866205 0.000173481379419458 0.000173605143980976 0.00017367922781221
9.20501 2.09191 6.01142 0.5 12.69791 46.46264 237 221 10.44174 10.44174 12 15.56 8.791 0 0 4.198 3.602 2.422 2.476 8.94 6.794 -9 0 0.003571 0.0025767 0.0032926 0.0025538 0.0037032 0.0022407 0.0032026 0.0021612 -0.2001714 0.9436699 0.0018297 0.9651043 0.003546 0.002549 0.0001142 0.0003075 0.0191372 0.0401704 0.8876906 0.0004812700294947 0.00010410425243851 0.0016045741774247 0.000103701127964288 0.00193674734797106 0.000103873512410961 0.172397168396832 0.00209978609792163 0.217172550596808 0.000640620552992374 0.15801077294982 0.000401604027928418 0.442504935095059 0.00223141023325755 0.000103720981584495 0.000103160620091562
14.95837 23.32833 29.61029 0.5 4.39217 114.17715 88 378 16.55182 16.55182 13 28.426 33.059 0 0 4.08 7.105 5.988 8.09 18.358 25.722 -9 0 0.0070337 0.0099007 0.0074543 0.0101922 0.006448 0.0085142 0.0069723 0.0086557 -0.0360831 1.1126326 -0.2872542 1.1378646 0.007436 0.0101804 0.0001921 0.0008893 0.0152064 0.0360681 0.9596016 0.000295358015055665 6.74032981246802e-05 0.00045119452402136 6.73609658466269e-05 0.00238494012538814 6.73127468829313e-05 0.0115084167267628 6.73635873871797e-05 0.513235781940784 6.73490265059961e-05 0.0679869046725453 6.73213956053415e-05 0.403531244349783 6.7378036616079e-05 6.73966661725308e-05 6.7273922517772e-05
18.60868 24.12925 4.02547 0.5 10.86151 29.50446 292 344 13.657 13.657 14 20.754 6.975 0 0 7.018 3.223 7.22 3.123 6.516 4.663 -9 0 0.0026373 0.0017129 0.0026595 0.0017092 0.0038148 0.0016079 0.0038718 0.0016535 -1.2028567 0.6925129 -1.223597 0.6610537 0.002663 0.0016853 1.46e-05 0.0001189 0.0029333 0.0179161 0.926019 0.000109551562965385 0.000352026679912401 0.00728214028444294 0.000941260035267201 0.0397578741239202 0.000950056622314933 0.277515864737579 0.000851696977208019 0.295461827453029 0.000725792927164641 0.217087100588103 0.00100551922123382 0.156948781360353 0.000846770016490359 8.18190364180658e-05 8.1918373597819e-05
1.23216 22.53211 28.54092 0.5 17.96558 126.13464 130 353 2.13682 2.13682 15 23.07 21.757 0.006 0.077 1.486 2.422 15.848 16.98 5.73 9.788 -9 0 0.002263 0.0040784 0.0056006 0.0067996 0.002061 0.0033075 0.0061075 0.0061341 0.1501046 1.0898707 -0.5123861 0.9221838 0.0049398 0.0062335 0.001008 0.0016873 0.1099679 0.0959422 0.6614478 0.0107479110409967 0.000474598337807807 0.124649946942704 0.00767275963855419 0.104082412955863 0.000477330031698352 0.258641390184814 0.00423132673682279 0.0839977517411062 0.00133016844077696 0.20723511875573 0.0143221097478276 0.17365357986917 0.00753718594914931 0.00047478998163823 0.000471619645340491
9.44248 3.38535 27.9727 0.5 3.5525 140.48488 7 338 20.4413 20.4413 16 23.808 25.664 0 0 1.456 3.954 5.096 9.455 17.256 22.245 -9 0 0.0063352 0.0085889 0.0073213 0.0089359 0.0052743 0.0065211 0.0063003 0.0069939 0.309115 1.3165334 0.2351765 1.3147254 0.0070841 0.0088106 0.0002558 0.000893 0.0310934 0.066323 0.9310079 4.31619477271957e-05 4.31539046140817e-05 4.31387016094165e-05 4.31455245296847e-05 0.00072759851909427 4.31499169498567e-05 0.00830718271949002 4.31430483861584e-05 0.267602649061364 4.31440381240214e-05 0.0484009464126198 0.000313696809924658 0.673545880865934 0.000713700233592777 4.31542962408153e-05 4.31539997996826e-05
5.93358 29.95664 11.29212 0.5 17.3417 143.34579 25 328 25.04993 25.04993 17 22.678 13.193 0 0 2.686 3.211 4.418 4.46 15.574 10.943 -9 0 0.0057788 0.0041526 0.0061124 0.0044067 0.0051469 0.0032641 0.0056351 0.0035012 0.2899649 1.09093 0.0957318 1.063084 0.0060788 0.0042753 0.0001332 0.0004742 0.0110014 0.0325652 0.9129796 8.15913975818692e-05 8.15862234056252e-05 0.000201348480465027 8.15399019792349e-05 0.000156651125593951 8.15234581298977e-05 0.0190610132872177 0.00134022090841774 0.141539315021971 0.00318777353022165 0.0464481776843054 0.00240037024893003 0.780747637625877 0.00442812666246062 8.15434288603073e-05 8.15810145829419e-05
17.32113 21.61196 13.06832 0.5 12.00999 146.92602 298 287 19.99124 19.99124 18 28.654 21.632 0 0 6.256 5.375 6.398 5.193 16 15.998 -9 0 0.0058096 0.0057846 0.0058226 0.0057583 0.0062733 0.0052913 0.0063133 0.0052271 -0.5777932 0.990968 -0.6186767 0.9462595 0.0058407 0.0057411 2.46e-05 0.0002616 0.0032252 0.0199421 0.9685146 0.000301916682873025 0.000101487865018773 0.000924690367478514 0.000101354359188087 0.00460247636826964 0.000101361803615074 0.10490876353729 0.000101323090689283 0.521957768020021 0.000101757483631114 0.110796062261964 0.000101424542011198 0.252999350654626 0.00010155709816719 0.00269707808000093 0.00010162778515595
26.56217 23.03844 24.08421 0.5 4.86301 187.27519 116 84 13.50385 13.50385 19 37.742 27.805 0 0 5.374 8.523 4.852 7.772 27.516 22.524 -9 0 0.0109371 0.0089131 0.0109857 0.0090384 0.0092859 0.0072757 0.0091337 0.0070285 0.5454107 1.2922682 0.5557866 1.3319505 0.0115101 0.0089598 0.0005487 0.0014823 0.0315097 0.0643181 0.8826162 7.57560176059386e-05 7.62610044698462e-05 0.00820822721907363 7.58126563861342e-05 0.00448535426401421 7.54292065768175e-05 0.071048625427805 7.60588399760902e-05 0.101711191187445 7.61962688373565e-05 0.182238962985354 7.62494415675497e-05 0.631201612624527 0.000420933697342472 7.56591771373044e-05 7.76699818817462e-05
0.74632 19.49417 14.06046 0.5 15.37833 113.13579 123 203 24.67021 24.67021 20 10.036 12.159 0 0 0.944 1.967 2.556 3.856 6.536 10.334 -9 0 0.002387 0.003882 0.002742 0.0040327 0.0021084 0.0031578 0.0025628 0.0031978 0.1712613 1.0331824 -0.2112326 1.1758505 0.0026816 0.0040229 0.0001171 0.000501 0.02581 0.0561152 0.9242255 0.000105447290049796 5.56276929921859e-05 5.56178513467895e-05 5.56839646265169e-05 0.000295319250721111 5.57021689039956e-05 0.00773389024067954 0.000439445211734805 0.0647692767672867 0.00042452299925017 0.0544457508637775 0.000349512363116819 0.870075794119209 0.00102704699230475 5.55935494205717e-05 5.57686745794928e-05
9.26044 0.88415 27.24451 0.5 18.24419 46.24486 397 213 28.24013 28.24013 21 49.238 25.578 0 0 7.816 9.816 3.238 5.387 38.184 23.154 -9 0 0.0154166 0.0092182 0.0139667 0.0091392 0.012966 0.0069022 0.0116756 0.0068531 0.6122005 1.2423908 0.6705296 1.3006692 0.0151259 0.009067 0.0004342 0.001314 0.0156392 0.0418244 0.8822962 9.84458013501569e-05 9.85385201220758e-05 9.84480376346307e-05 9.84770805388571e-05 0.00439347123370058 9.85885224680493e-05 0.0653753512019307 9.84717042715474e-05 0.208641669234628 0.00125983682205664 0.106967691751787 0.000484606896605157 0.611124225158042 0.000965213716112632 9.84734022314526e-05 9.84909165198767e-05
23.61524 14.23777 6.8139 0.5 17.68413 57.07929 405 338 9.81224 9.81224 22 25.98 11.654 0 0 7.84 3.881 7.362 3.662 10.778 8.423 -9 0 0.0041539 0.0031315 0.0040702 0.0030479 0.0052478 0.0028282 0.0051131 0.0027973 -0.9467689 0.7512513 -0.9094217 0.7431136 0.0041298 0.0030729 1.77e-05 2e-04 0.0020852 0.0176096 0.9632268 0.000311206809983675 6.35636761383261e-05 0.00541254715392085 6.30121861165905e-05 0.00890668863327031 6.31480106997819e-05 0.107387361251163 6.3272133754128e-05 0.436213481957323 6.32870492644219e-05 0.067670941101526 6.28917193522788e-05 0.373530020534429 6.29457433648984e-05 6.27436374454474e-05 6.28884022474557e-05
22.65806 7.42752 29.79565 0.5 3.12671 195.06429 477 129 13.40024 13.40024 23 24.33 35.493 0 0 8.436 12.216 3.35 6.461 12.544 24.795 -9 0 0.0057471 0.0098404 0.0048131 0.0095883 0.0061329 0.0093187 0.0046694 0.0087837 -0.7545376 1.1047975 -0.1300186 1.2080185 0.0055542 0.0098438 0.0002741 0.0010945 0.0384651 0.0785805 0.9441776 0.0019603111682061 0.000108645462320503 0.00314741030185428 0.000108683997910802 0.0222051474422283 0.000107894649501747 0.132041377531791 0.000107550957682294 0.283372485591882 0.00011052502446525 0.358063214324702 0.000108378993691505 0.1982334565536 0.000109324211342894 0.000108744806267225 0.000106848982554872
19.73742 26.59252 10.21277 0.5 9.7046 61.15465 384 253 0.04776 0.04776 24 22.528 12.05 0.008 0.141 9.266 5.213 8.312 5.081 4.942 6.784 -9 0 0.0031505 0.0030533 0.0030029 0.0029841 0.0040048 0.0027766 0.0037359 0.002778 -0.9010766 0.8872939 -0.837789 0.8710498 0.0034123 0.0032009 0.0003356 0.0005908 0.0495358 0.0624929 0.8598491 0.434823880525862 6.84208756034549e-05 0.402467754464741 6.83385085215882e-05 0.119605526505883 6.84853659952143e-05 0.00973275024143186 6.83494791392468e-05 0.00838876321442252 6.8365328359677e-05 0.0148910981488746 6.84106938399385e-05 0.00947466737718729 6.84382916534414e-05 6.83589188310452e-05 6.83920596544466e-05
