N1 N2 Na Tsplit dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo pNoMigration pMigration robustness
20.43214 15.61701 29.42408 0.5 20 110.688 25.136 0 0 26.578 10.629 23.398 9.437 60.712 17.304 -9 0 0.0302472 0.009026 0.028512 0.007419 0.0293077 0.0072135 0.0275003 0.0060088 0.105246 0.4874229 0.139263 0.4932398 0.0310754 0.0081096 0.0016958 0.001792 0.0293534 0.0294519 0.8182067 0.00887773126532666 0.16387863402418 0.10937454417686 0.418783725431497 0.0158949819618876 0.188625217649917 0.00242567697202694 0.0228129079854522 0.00362298236423207 0.00942644606606707 0.00284819138938412 0.0376153562283325 0.00444235673326103 0.0107945674594662 0.000288833479969543 0.000287846812138835 0.0940427177801824 0.0940427177801824 0.0106289442549092
16.31846 28.87259 19.40065 0.5 21 92.578 15.332 0 0 20.232 6.995 24.58 7.937 47.766 12.723 -9 0 0.0194041 0.0053425 0.0200347 0.0049874 0.0192128 0.0042188 0.020431 0.0039827 0.0228596 0.5556598 -0.0933828 0.5178062 0.0206348 0.0051038 0.0009155 0.0010435 0.023295 0.0252305 0.7936401 0.000499771429071714 0.12078132273366 0.000217998622886513 0.357723446634579 0.00217144627876553 0.49189643414883 0.000253393384750702 0.00967457488344277 0.000227694660515073 0.00613447159423943 0.000266131299606006 0.00415767127175983 6.75513395416867e-05 0.00579437915351517 6.6830929026832e-05 6.6881635809193e-05 0.0265794215900033 0.0265794215900033 0.00132267553079921
2.23165 22.17562 19.64348 0.5 22 80.046 15.268 0.018 0.214 9.248 4.965 41.402 13.293 29.378 13.679 -9 0 0.0132363 0.005972 0.0197914 0.0052993 0.0108875 0.0041704 0.0199507 0.0042334 0.8102545 1.0286016 -0.0571461 0.5021723 0.0207439 0.0057542 0.0042301 0.0029781 0.1174367 0.0766606 0.4977036 0.000396507488996864 0.37218228395524 0.00133481784918539 0.275567762825507 0.00194975333583345 0.197169204169285 0.000266804327027909 0.00976097318893793 0.000349746230404186 0.00351992358223291 0.000122211028712906 0.132126357447584 0.000453813986596416 0.00456006846990135 0.000119809311458574 0.000119962803096321 0.151196150882207 0.151196150882207 0.106305853736881
19.59189 5.81111 7.75626 0.5 23 42.172 9.766 0 0 16.322 5.609 9.786 4.104 16.064 7.417 -9 0 0.0083504 0.0031642 0.0075476 0.0030473 0.0091286 0.0025718 0.0072863 0.0023833 -0.3756821 0.6221824 0.098684 0.6945724 0.0088092 0.0032509 0.0008603 0.0009852 0.0516919 0.0478239 0.7468447 0.0131311506604907 0.224577416918153 0.0676596577900323 0.306831778130146 0.0864849726286583 0.277515400217147 0.000874361165530486 0.004785763684501 0.000298913963556206 0.00220515360406683 0.00432424694798487 0.00706036529881701 0.000409283494031376 0.00355488936403446 0.000141914595590297 0.000144731537259481 0.0235197193591223 0.0235197193591223 0.00126837206813712
11.22346 17.49212 5.14493 0.5 24 33.946 7.829 0 0 10.316 3.658 12.24 4.14 11.39 5.645 -9 0 0.0055508 0.0023146 0.0057667 0.0022846 0.0061183 0.0019317 0.0066606 0.0019411 -0.3968297 0.7014243 -0.5530053 0.683315 0.006052 0.0023605 0.0003933 0.0005161 0.0332135 0.0373934 0.7850409 0.0124891195423146 0.606114989372719 0.00313621400496451 0.20861763797441 0.00368219188634035 0.135203679455541 0.00170832981238446 0.0084218643612859 0.000434822883528605 0.00220360974246379 0.000634815834323193 0.0107114522532013 0.000529187804741166 0.00593050919760722 9.10287273916892e-05 9.05471467829491e-05 0.0305801445060067 0.0305801445060067 0.00140325759354206
9.09757 5.80003 26.81 0.5 25 102.022 17.273 0 0 29.26 10.25 21.928 8.47 50.834 14.306 -9 0 0.0245328 0.0060048 0.0233986 0.0061912 0.0227666 0.0048942 0.0206402 0.0048036 0.3187627 0.5632766 0.5448188 0.6078386 0.027592 0.0064721 0.0036263 0.0025995 0.0711226 0.0459017 0.6244311 0.000165342076114443 0.371859612085617 0.00254130246898238 0.196430656835883 0.00328772326282804 0.373899701055928 0.000347579701882161 0.00430617146765968 0.000611787825351751 0.0195701070541819 0.000151751461156346 0.00293225422238037 0.000210660530144254 0.0233827935234712 0.000152072922407499 0.000150483506010805 0.0515286961244882 0.0515286961244882 0.00212128919315936
6.53872 15.55524 28.23745 0.5 26 110.256 18.235 0 0 20.532 8.311 33.366 12.164 56.358 16.054 -9 0 0.0257023 0.007949 0.0275666 0.006731 0.0230366 0.0063482 0.0264715 0.0054483 0.4583338 0.5668626 0.1609585 0.4995636 0.0295686 0.0075313 0.0029341 0.0024566 0.0537632 0.0411373 0.761678 0.00100146002378714 0.0239554394384145 0.00161370324672423 0.634409688634885 0.000675630915691906 0.257856012786742 0.000426110638487128 0.0447268406549594 0.000559902953629553 0.00527638918986 0.000434015895263557 0.0217488147614426 0.000472651885805257 0.00656385011719132 0.000139764934661031 0.000139723922455434 0.080230999767069 0.080230999767069 0.00558569572423119
27.54567 17.12336 11.0304 0.5 27 59.75 11.593 0 0 16.924 5.393 15.098 5.556 27.728 9.877 -9 0 0.0118012 0.0038554 0.0116202 0.003772 0.012586 0.0031553 0.0120713 0.0030143 -0.2787475 0.5757167 -0.1792404 0.6315003 0.0122325 0.0037685 0.0005217 0.0007225 0.0223153 0.0281059 0.8021359 0.00242926079748314 0.231728435382023 0.000971074035287745 0.364100705786636 0.00494490652016068 0.316759847519326 0.000869751882608713 0.031706295020564 0.000100205402127579 0.00355865662939197 0.000847587241030419 0.0314626877492317 0.000212934887033691 0.0101067045626582 9.97625387463583e-05 0.000101184045690901 0.0788806741767002 0.0788806741767002 0.00527371465075011
17.58733 24.0663 15.5021 0.5 28 76.192 14.037 0 0 17.844 5.625 20.612 6.687 37.736 11.766 -9 0 0.0155659 0.0046777 0.0159283 0.0048579 0.0156663 0.0036726 0.0164465 0.0037005 -0.0575492 0.5414584 -0.1586643 0.5978991 0.0164834 0.0047565 0.0007363 0.0009149 0.0235352 0.0268558 0.8267204 0.000420301787946303 0.747793763669922 0.00293304398491115 0.0765543155604695 0.000479778910608304 0.148286496548542 7.32079626401933e-05 0.0057351605135118 6.15607124256815e-05 0.00186929298954138 0.000892584764966846 0.00885766428571492 0.000286279683742386 0.00563336740743335 6.17031610077118e-05 6.14780566161002e-05 0.0234120022389194 0.0234120022389194 0.00126656208211046
22.09535 12.74769 15.42938 0.5 29 74.908 14.267 0 0 21.46 7.621 17.172 5.947 36.276 11.461 -9 0 0.0157275 0.0045759 0.0152963 0.0047435 0.016274 0.0037974 0.0150654 0.003683 -0.1583619 0.5550579 0.0342826 0.6013756 0.0164227 0.0047002 0.0009107 0.0010685 0.0288203 0.0306738 0.7853566 0.00667649810797744 0.326187708808096 0.00179910606988691 0.405623079315353 0.00209386241087769 0.209984137923579 0.000439876569365037 0.00878730961750528 0.000190618063540766 0.00535716714902775 0.000554029877421172 0.0248934948777157 0.000108264848742609 0.00709546963513464 0.000105236258762328 0.000104140467014328 0.0474361626668756 0.0474361626668756 0.00192541201160919
