N1 N2 Na Tsplit M1 M2 shape1M1 shape2M1 shape1M2 shape2M2 propNtrlM1 propNtrlM2 dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo
12.66547 27.65762 21.56499 0.5 20.46678 20.46678 7.09549 27.72689 15.04697 196.00065 484 484 10 98.318 16.469 0 0 17.784 6.728 19.136 6.947 61.398 14.969 -9 0 0.0218207 0.0057991 0.0222001 0.0056451 0.0224306 0.0046271 0.0227886 0.0045483 -0.1329594 0.5070748 -0.1222408 0.5022321 0.0220297 0.0055949 1.93e-05 0.0006449 0.0003946 0.0143469 0.8996333 6.94547527201606e-05 7.00444585470822e-05 6.97767889954203e-05 0.000634707485027074 0.000532014151039192 0.0144733239601618 0.00107621373764301 0.0623248953174047 0.00234636748702379 0.391589205601047 0.000491652552004323 0.0606018514114261 0.00273125650016743 0.462849591574509 6.9750765964529e-05 6.98934563191688e-05
14.09257 13.82055 29.82284 0.5 27.8899 27.8899 6.14345 181.81941 2.19516 30.31836 84 84 11 109.984 25.195 0 0 21.37 9.61 20.274 9.085 68.34 18.397 -9 0 0.031084 0.0089207 0.0292668 0.0069295 0.0300292 0.0069482 0.0289209 0.0057097 0.1126019 0.471769 0.0380071 0.4759854 0.0309289 0.0077271 0.0007535 0.0012055 0.0129338 0.0204391 0.8548059 0.00072347407718174 0.0109473988111678 0.00154882717304024 0.039035828449207 0.000135862020522939 0.0194061006442866 0.0051371828732964 0.608676328406767 0.000135627521746728 0.0510112697995676 0.00417952747515516 0.225254020668385 0.00176496577349109 0.0317702693984717 0.000135352495738981 0.000137964411973454
1.78234 8.7989 20.95761 0.5 5.38942 5.38942 15.19449 143.44551 18.43722 37.85406 466 466 12 70.2 16.228 0 0 7.516 5.761 16.058 9.835 46.626 15.744 -9 0 0.017288 0.0060299 0.018918 0.0057487 0.015261 0.0046968 0.0176687 0.0044591 0.5359356 0.7652782 0.2645603 0.6024631 0.0189134 0.0058329 0.0008104 0.001587 0.0223219 0.042065 0.7723463 0.000198309956619786 0.000197136563930767 0.000238998502770041 0.0340064675425842 0.000198072228872244 0.00757821092596493 0.0269454703922376 0.500686367725144 0.000196570678495608 0.00751868150774299 0.0917913703602013 0.310261733136201 0.012443726261756 0.00734261720818874 0.000198049198119112 0.000198217811171928
24.9842 21.6534 6.00586 0.5 3.96814 3.96814 0.27286 21.92997 15.14558 65.23114 432 432 13 39.704 8.565 0 0 11.444 4.399 10.818 3.943 17.442 6.749 -9 0 0.0068671 0.0025468 0.0067384 0.0024684 0.0081421 0.002211 0.0079656 0.0021657 -0.6459726 0.6381108 -0.6314005 0.6384938 0.0068627 0.0024401 5.99e-05 0.0002839 0.0046869 0.0198226 0.8701009 0.000119148471142447 0.000720096490873526 0.00338267634866366 0.055288152220557 0.00150365727072781 0.0552273465829286 0.027171751807701 0.436857141459181 0.00314144709139214 0.0520583266538934 0.00593386787127969 0.282441581009574 0.00166958060202811 0.0742443451444584 0.000118800140386941 0.000122080835213122
9.03585 0.35235 28.5007 0.5 17.53903 17.53903 0.89548 156.91508 4.5398 22.51804 468 468 14 54.486 22.926 0.14 1.052 16.188 21.259 3.304 6.455 34.854 20.11 -8.752 2.542 0.0163656 0.0082369 0.0128788 0.0084427 0.0143872 0.0063467 0.0107556 0.0059462 0.5140883 1.2617348 0.659649 1.4603685 0.0160547 0.0085575 0.0014325 0.0037039 0.0382256 0.0861013 0.5801948 9.30796101228733e-05 9.19425898093931e-05 0.000462974608740703 0.00267228257510852 9.28362947454255e-05 9.2870542813796e-05 0.00941703503093742 0.32504565336934 9.25764189107247e-05 9.29365687014108e-05 0.00641784667459082 0.654439308049327 0.000709883491312979 9.30026152918621e-05 9.28307413439549e-05 9.29408189035218e-05
25.73501 14.99678 5.98563 0.5 18.41965 18.41965 19.47769 96.02356 11.71356 66.02513 470 470 15 39.1 8.33 0 0 10.398 3.786 10.224 3.889 18.478 6.857 -9 0 0.0068176 0.0025956 0.0069038 0.0025589 0.0081393 0.0021868 0.0080902 0.0021245 -0.681625 0.6202803 -0.6206025 0.6153777 0.0068729 0.0025267 1.22e-05 0.0002227 0.000717 0.0148011 0.9031659 6.01571451043383e-05 5.89511612939507e-05 5.98398137332487e-05 0.00617730774797732 0.000499822729474285 0.0207371977025773 0.00191141295820083 0.223924458471032 0.00454279772601928 0.396422424657938 0.000635053148509344 0.0377008833637346 0.00183252597101503 0.305317329193237 6.01247152947755e-05 5.97134948593172e-05
17.14984 7.74194 8.3935 0.5 12.78906 12.78906 11.17827 122.91848 19.85284 196.90075 236 236 16 44.93 10.034 0 0 11.894 5.098 9.89 4.067 23.146 8.832 -9 0 0.009041 0.0032837 0.0088404 0.0031382 0.0098767 0.0028149 0.0093118 0.0025577 -0.3669102 0.6303428 -0.2312007 0.6640957 0.0091446 0.0031689 0.0002039 0.0004818 0.0114365 0.0244868 0.8627847 0.011869861075567 0.0280552178355262 0.00963087461409793 0.136418732559823 0.077233679850559 0.0635511085661165 0.0115171957570051 0.208958604997866 0.00231562813167184 0.0410022943445206 0.196994737165403 0.192652975160458 0.00205854059289197 0.0174003396773236 0.000168824562814549 0.000171385108355711
12.20744 3.77061 2.50207 0.5 26.78577 26.78577 15.27077 22.09957 14.98826 137.73885 244 244 17 20.238 5.361 0 0 6.018 2.679 5.284 2.653 8.936 3.735 -9 0 0.0032678 0.001344 0.0032433 0.0013807 0.0042151 0.0012781 0.0040082 0.0012781 -0.8447784 0.6640219 -0.709939 0.7102571 0.0032774 0.0013245 2.19e-05 0.0001299 0.0031809 0.0172137 0.8554989 8.10434166432958e-05 0.000808971230559048 0.000336420462636522 0.00362780763435997 0.000652158044335653 0.0070163226656223 0.00188108870437103 0.0885413763902974 0.00849775805773072 0.528597359881874 0.00343174607504427 0.0583051345237152 0.0122963478581306 0.285767908016353 7.98754965824013e-05 7.86815417446386e-05
25.32756 28.11828 16.24656 0.5 15.55265 15.55265 18.33483 96.92712 12.57372 151.64624 114 114 18 80.832 14.161 0 0 17.558 6.215 18.048 6.032 45.226 12.701 -9 0 0.0166794 0.0048364 0.0167975 0.004839 0.0177313 0.0039168 0.0178649 0.0039468 -0.266189 0.5258824 -0.2666846 0.536584 0.0168229 0.0046745 8.45e-05 0.0005414 0.0027375 0.0158691 0.8767637 9.80689354800336e-05 0.000100515605366834 9.89935954042541e-05 0.0765483854611019 0.000812035179842823 0.053949247581531 0.00172287175081415 0.14039342172757 0.00103408929383858 0.138068156225085 0.00131047170086519 0.451318071357954 0.000578747703042108 0.133769394373509 9.8960060958288e-05 9.85694476366881e-05
10.07488 19.35619 21.77803 0.5 4.65422 4.65422 11.91889 117.05682 14.49595 41.18464 220 220 19 94.544 16.912 0 0 17.342 7.232 22.188 8.539 55.014 15.337 -9 0 0.0208489 0.0058544 0.0215413 0.0059082 0.0204232 0.004694 0.0217829 0.0045548 0.0678783 0.5596247 -0.071419 0.5392527 0.0218007 0.0058467 0.0006056 0.0010453 0.0143208 0.0240606 0.8624004 0.000329474219047132 0.00587383931976396 0.000736304728196128 0.0303070861851139 0.000195474419227651 0.0158351313977715 0.0077256672100816 0.408502863232575 0.000380843808222603 0.0190597405016062 0.00372015396681595 0.496861434095698 0.000354293197257673 0.00990885716983238 0.000104387674350557 0.000104448874439326
