N1 N2 Na Tsplit shape1Ne shape2Ne propNtrlNe1 propNtrlNe2 dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo
23.99178 22.03326 6.10253 0.5 18.68015 20.84871 237 212 10 26.01 6.803 0 0 9.788 3.468 9.706 3.619 6.516 4.288 -9 0 0.0036219 0.0017985 0.0036886 0.0018341 0.0045956 0.0015741 0.0045725 0.001622 -0.8464809 0.7220225 -0.7697251 0.7286204 0.0038739 0.0018414 0.0002186 0.0003323 0.0291611 0.0376918 0.8500496 0.642243022206837 0.0360722370098813 0.203794878573207 0.0209895946423849 0.0424775248439163 0.0104235180370661 0.00794153358292513 0.00669005744846537 0.000814158529941692 0.00144898811424836 0.0130183510791427 0.00646814515232198 0.00415112758568024 0.00305054608312097 0.000207909082280086 0.00020840802858135
4.34511 29.45554 18.46889 0.5 12.25886 110.10938 257 349 11 47.94 30.129 0.614 2.169 6.324 6.857 29.742 23.512 11.26 16.011 -8.31 3.872 0.0056412 0.0071217 0.0111188 0.0083556 0.0049564 0.0058881 0.0115572 0.0079478 0.1902809 0.9889814 -0.3633225 0.9521593 0.0123284 0.0093987 0.0039485 0.0051018 0.1877345 0.1644066 0.5295213 0.857933238572462 0.000118014222991568 0.0876635868042422 0.000117994159062223 0.00651840187157355 0.000118056912069698 0.0290169765291527 0.000118055144474913 0.000408760311350793 0.00011802804783065 0.0172769289841941 0.000118030732929951 0.000119848606510574 0.000118031238810783 0.000118036375175601 0.000118011487168741
24.33515 22.97708 20.14742 0.5 7.77624 44.10776 435 251 12 68.128 33.401 0.016 0.283 23.052 14.487 15.436 10.233 29.624 21.184 -8.96 0.894 0.0146163 0.0090348 0.0132785 0.0087316 0.0148912 0.0083417 0.0127349 0.0077261 -0.2447274 0.8031489 0.0426482 0.9448604 0.0157311 0.0095782 0.0017837 0.0024567 0.0614748 0.0648351 0.8449942 0.508283155968773 0.000105056216338538 0.269270927220848 0.000105003955759384 0.12994751563944 0.000104773666507581 0.0502128884608222 0.000104124062395371 0.000995684694436462 0.000104502449434886 0.0373646247414787 0.000104793134509128 0.00298240838479033 0.000105507844581006 0.000104467585611187 0.00010456597427352
14.86229 6.43153 21.2138 0.5 18.6743 160.79987 188 187 13 29.632 27.75 0.792 3.136 14.588 16.855 8.252 11.705 6 11.528 -8.182 4.089 0.006044 0.0073328 0.004373 0.0066268 0.0058031 0.0064266 0.0040172 0.0055465 -0.028323 1.0822222 0.0059774 1.058584 0.0089365 0.0102234 0.003728 0.0060209 0.2502163 0.1994941 0.5401001 0.0690108183426687 9.93104587318892e-05 0.669447939025552 9.92737117007957e-05 0.24501651429398 9.92950065077528e-05 0.00547500075514231 9.9294722435081e-05 0.0020058076891974 9.92985599447644e-05 0.00563787337219808 9.92918459637959e-05 0.00251245885781209 9.92729151522752e-05 9.92463728700981e-05 9.93040701434704e-05
21.71912 8.21349 6.82495 0.5 14.44905 110.43041 222 19 14 27.152 10.109 0.348 1.128 17.488 9.585 4.436 3.844 4.88 5.494 -8.636 2.484 0.0062906 0.0030415 0.0031278 0.0027805 0.0063048 0.0028547 0.0026259 0.0020526 0.0398484 0.9753156 0.4841894 1.2385308 0.0076416 0.0034915 0.0029323 0.0024976 0.2389142 0.1598541 0.2873365 0.503824115168283 0.000998172350057348 0.273219700613317 0.00183331864938018 0.135731105223154 0.000760326272168432 0.0347993970186919 0.00202795793552264 0.006081523447169 0.000634978062379488 0.0309409801873005 0.00122036676898316 0.00661644532230381 0.000725244282671465 0.000292849992893358 0.000293518705724764
10.87673 10.51932 27.18398 0.5 14.95001 141.42082 482 229 15 50.204 40.013 0.172 0.903 24.982 24.463 9.59 9.936 15.46 21.757 -8.8 2.039 0.0119814 0.0120156 0.0078598 0.0096794 0.0116203 0.0103936 0.0072097 0.0084325 -0.2819102 0.8955607 0.1115672 1.1141592 0.0130622 0.0127631 0.0031416 0.0049089 0.1328122 0.132672 0.7386472 0.196137791394308 8.10070428267783e-05 0.289447551185766 8.10014254905784e-05 0.498974196181929 8.10763928619527e-05 0.00253943322701332 8.09913491803821e-05 0.00238606279593317 8.10939622054544e-05 0.00422816002968914 8.10320680875047e-05 0.00555742747155581 8.11471193604437e-05 8.10273337267606e-05 8.10010200666039e-05
15.2465 4.46252 16.2024 0.5 18.05519 13.91987 52 136 16 53.934 17.565 0.01 0.184 23.066 10.832 9.98 5.649 20.878 11.506 -9 0 0.0128398 0.0054081 0.0102571 0.0052396 0.0123865 0.0044789 0.0086979 0.0039701 0.0975835 0.6603168 0.6534708 0.9468036 0.0142135 0.005852 0.0026651 0.002197 0.1056836 0.0718473 0.6522985 0.250966419974346 0.00100463824837202 0.379557093240829 0.00802970834567595 0.348410194509276 0.0022231248435387 0.000950758969475228 4.89348922174193e-05 0.00375919579238389 0.000867576469469807 0.0010457286350403 0.000204901991446463 0.00217212946135059 0.000565026603669022 9.72877275077023e-05 9.72802954022536e-05
4.73124 20.37628 29.1473 0.5 6.67352 79.53208 441 291 17 79.65 40.966 0.724 3.318 20.736 19.486 28.004 24.116 30.186 25.966 -7.922 4.826 0.0172549 0.0124264 0.0181197 0.0125662 0.0152007 0.0104655 0.0171472 0.0118303 0.3378522 0.8849243 0.1647605 1.0559697 0.0234815 0.0135223 0.0057942 0.0069595 0.1525554 0.1668983 0.6361236 0.380471693437445 0.000124535357663739 0.331543193629466 0.000124749657944935 0.260078576407869 0.000124673946595956 0.0118777378134191 0.000124912188703786 0.000172980458591031 0.00012462033524062 0.00990881602252124 0.000124698894176281 0.00482380907705119 0.000124958905146294 0.00012510518560057 0.00012493868256525
29.82466 26.59525 25.84412 0.5 5.96189 74.62482 277 128 18 27.692 28.718 0.082 0.66 12.24 12.783 7.458 6.973 7.912 15.382 -8.872 1.656 0.0054661 0.0085964 0.0044502 0.0068038 0.0058403 0.0077124 0.0044361 0.0058465 -0.5382608 1.0189909 -0.2245902 1.0734631 0.006356 0.0092785 0.0013979 0.0027999 0.1277083 0.1308658 0.8888478 0.395215044637514 0.000114407975572561 0.368407780334213 0.000114685719096032 0.207159734548028 0.000114277579569916 0.00844155518515857 0.000114492330477057 0.00296336619637849 0.000114813589490576 0.0138964959265734 0.000114754052820729 0.00288496996698544 0.000114327669383012 0.000114835384988083 0.000114458903750721
21.22276 1.11439 27.20927 0.5 0.38002 94.72593 22 309 19 6.736 13.598 2.216 6.921 1.266 6.172 2.974 7.033 0.28 3.382 -8.436 3.369 0.0004185 0.0027666 0.0009905 0.0030578 0.0004358 0.002401 0.0009172 0.0022823 -0.0631845 0.6023912 -0.1485763 0.7449232 0.0035466 0.0085476 0.0028421 0.0075674 0.5049491 0.3791544 0.3286028 0.228330015608142 0.000120883665067085 0.536692327224585 0.00110079514028394 0.16607159106114 0.000385182833361989 0.0309633079047048 0.000389772036963684 0.000419254745931154 0.000122146105073699 0.0344115043066031 0.000217647793283846 0.000409753164803963 0.000120634036321749 0.000123047573718162 0.00012213680001588
