N dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo pNoMigration pMigration robustness
4.53713 20 18.956 6.286 0 0 3.116 2.399 3.232 2.368 12.608 5.507 -9 0 0.0044193 0.0020665 0.0044507 0.0020915 0.0044321 0.001648 0.0044648 0.0016919 -0.0547421 0.7836174 -0.0486316 0.8076131 0.0044352 0.0020319 2e-07 0.0001859 -0.0006861 0.0190105 0.887611 2.74224006214063e-05 2.74236361353765e-05 2.76067827721976e-05 2.74378730729996e-05 2.72362747326207e-05 2.75157139787472e-05 2.73681117812588e-05 2.76109865088882e-05 2.82609255407494e-05 0.000118245898177286 2.7591710567409e-05 2.75780526019081e-05 2.76352996281051e-05 0.000476725479219061 0.032363886506499 0.966710454348163 0.000164642681313348 0.999835357318687 0.993279957328873
1.60506 21 6.914 3.297 0 0 1.12 1.246 1.148 1.309 4.646 2.866 -9 0 0.0016461 0.0010474 0.0016198 0.0010563 0.0016253 0.0008394 0.0016332 0.0008935 0.0008141 0.9616801 -0.0598712 0.9152362 0.0016343 0.0010257 1.3e-06 8.22e-05 0.0012179 0.0244011 0.9080246 2.82023292479519e-05 2.82156088712745e-05 2.81757367321843e-05 2.81692064057073e-05 2.81998341121893e-05 2.8149959605759e-05 2.8226638887406e-05 2.81693620072156e-05 2.81203961555325e-05 2.81838649835316e-05 2.81719410870617e-05 2.81667822361474e-05 2.81594717610678e-05 0.000726762017794811 0.0911658285360589 0.907741098314053 0.000169112674975066 0.999830887325025 0.993279720710322
10.35876 22 44.008 10.31 0 0 7.57 4.459 7.508 4.238 28.93 9.111 -9 0 0.0101167 0.0034663 0.0101294 0.0034334 0.0102882 0.0028139 0.0102708 0.0026867 -0.0943285 0.6662452 -0.0828821 0.6730881 0.0101173 0.0033694 -5.7e-06 0.0003486 -0.0005205 0.0161243 0.8893311 4.43705993571487e-05 4.43551731733082e-05 4.43544142138969e-05 0.000177713312267468 4.43427881646289e-05 0.000207733579362477 4.42931718083372e-05 0.000887597294935413 4.42878511686004e-05 0.00530141770081495 4.4372714476107e-05 0.000406401633279792 4.4358104313579e-05 0.0038514250081537 0.00578134525365153 0.983031631400859 0.000562869866538928 0.999437130133461 0.993258811055337
28.22416 23 111.128 18.939 0 0 18.732 8.302 18.982 7.86 73.414 16.387 -9 0 0.0278463 0.007312 0.027449 0.0064168 0.0278594 0.0057732 0.0276559 0.0053848 -0.0230602 0.4640839 -0.0403738 0.4368884 0.0276689 0.0066635 2.13e-05 0.0007547 0.0004117 0.0136445 0.8858431 9.9375776291981e-05 9.93718183808441e-05 9.93830396427755e-05 9.93631581176792e-05 9.93562698528173e-05 0.000458700487327159 9.93695449760741e-05 0.00773435258858706 0.000662738889176121 0.0532635947166767 9.93464618186275e-05 0.00295215583370501 9.93748961170574e-05 0.0249687089985799 0.00535005012316793 0.903814757397582 0.000955550549613256 0.999044449450387 0.993237760566389
28.1376 24 110.09 20.959 0 0 18.296 8.152 18.372 7.83 73.422 17.853 -9 0 0.028747 0.0080812 0.0279138 0.006915 0.0283544 0.0062233 0.0279587 0.005391 0.0225237 0.4971689 -0.0303741 0.4952936 0.0283894 0.0074099 5.9e-05 0.0008158 0.0006762 0.0136902 0.9000287 8.88757338354773e-05 9.55612431459468e-05 8.91184522631638e-05 0.000682673856172408 8.88686366852848e-05 0.00200282295529808 8.9040103327856e-05 0.00972071225712893 8.9025080738131e-05 0.0759634966064914 8.89013094383261e-05 0.00683510913830713 8.92148029605885e-05 0.029268351126989 0.0050707998509929 0.869737428846225 0.00304792087740036 0.996952079122599 0.993122284567351
29.78875 25 110.072 25.165 0 0 18.23 8.321 18.07 8.505 73.77 19.407 -9 0 0.0306957 0.0091849 0.0292242 0.0067394 0.0303004 0.0068185 0.02958 0.0055019 0.0137688 0.5014875 -0.0634661 0.4378821 0.03 0.0077236 4.01e-05 0.0007917 0.0005553 0.0131112 0.8642132 5.72265241766009e-05 6.50846790862118e-05 5.72381731250479e-05 5.72528179827159e-05 5.72379473057957e-05 5.72393377108386e-05 5.72460287443154e-05 0.00195210371857899 0.000162992959768055 0.0158262333182098 5.72309962856749e-05 0.000605585801422347 5.72339198757882e-05 0.0108046543233497 0.000325817209579845 0.969799622244798 0.000351279479387211 0.999648720520612 0.993270075313502
0.90934 26 3.926 2.074 0 0 0.676 0.881 0.65 0.851 2.6 1.834 -9 0 0.0009045 0.0006824 0.00091 0.0006831 0.0009234 0.0005512 0.0009161 0.0005511 -0.1130805 0.9415991 -0.0560906 0.939405 0.0009055 0.0006633 -1.7e-06 6.45e-05 -0.0005454 0.0274797 0.9037755 2.20031084126944e-05 2.19902831751323e-05 2.1990886912069e-05 2.20081851828514e-05 2.19945140033564e-05 2.19828735370059e-05 2.20093166769064e-05 2.2007513665951e-05 2.19948384344215e-05 0.000147593308682321 2.1982923872494e-05 0.000116703132817538 2.20070122892873e-05 2.20055470836178e-05 0.0196913335794473 0.979780392975807 0.000131969851223109 0.999868030148777 0.993281686146366
27.25697 27 110.086 18.733 0 0 18.006 7.086 18.396 7.541 73.684 16.105 -9 0 0.0279806 0.0074433 0.0277951 0.0066215 0.0275685 0.005779 0.0274208 0.0052102 0.0366436 0.4679564 0.0367692 0.4526035 0.0278632 0.0068223 -2.47e-05 0.0008094 -0.0004057 0.0142505 0.9017198 5.17460540476875e-05 0.000207478975031965 5.15240894584206e-05 5.17596911448274e-05 5.155263543106e-05 0.0265178476546316 5.1568101690555e-05 5.15156285221339e-05 5.15543559356984e-05 0.00260368415434794 5.15400636847488e-05 0.00181658185250915 5.15574933615351e-05 0.00775953124908219 0.00275117048431487 0.957879387516806 0.0269319090997456 0.973068090900255 0.99125478217793
25.46338 28 105.722 17.859 0 0 17.68 7.119 17.8 7.451 70.242 16.814 -9 0 0.0255748 0.0071437 0.0253253 0.0064331 0.0254128 0.0055692 0.0253294 0.0050788 4.78e-05 0.4949161 -0.0194389 0.4972505 0.0255007 0.0066869 5.07e-05 0.0008236 0.0007619 0.014931 0.8951041 9.61780594122427e-05 0.000855457454631867 9.69839343136749e-05 0.000827580926726285 9.71378051280321e-05 0.00440948729416962 9.6874386999327e-05 0.0117430913409001 9.68373114392169e-05 0.072613961351514 9.72951253128587e-05 0.00303744458472792 9.70779199912358e-05 0.0204345660030847 0.00829489124943875 0.87710513525221 0.00638282547438172 0.993617174525618 0.992926049413681
5.82063 29 25.056 7.426 0 0 4.316 2.7 4.164 2.861 16.576 6.456 -9 0 0.0059081 0.0024872 0.0059078 0.0024532 0.0058888 0.0019846 0.005846 0.0019268 -0.0224017 0.7496065 0.001911 0.763243 0.0059129 0.0023964 4.9e-06 0.0002387 0.0007013 0.0187241 0.897342 3.59394620397431e-05 3.5789292456861e-05 3.5907421360457e-05 3.58703298427033e-05 3.59992593776009e-05 0.000318558125946419 3.59781222124595e-05 0.000399670412245747 3.59610570848221e-05 0.000721688004522022 3.59459691064044e-05 3.57707830734721e-05 3.59128992676565e-05 0.000104721803069055 0.0148691298439578 0.983227157214437 0.000498063891023784 0.999501936108976 0.993262270877021
