N1 N2 Na Tsplit shape1Ne shape2Ne propNtrlNe1 propNtrlNe2 M1 M2 shape1M1 shape2M1 shape1M2 shape2M2 propNtrlM1 propNtrlM2 dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo
13.85926 17.98515 0.69127 0.5 9.26504 158.59814 112 162 16.43732 16.43732 13.66964 118.49359 8.55743 96.67627 483 483 21 7.594 4.45 0 0 2.26 2.287 2.32 2.181 3.014 2.05 -9 0 0.0011414 0.0007015 0.0011557 0.0007112 0.0014866 0.0009281 0.0015035 0.0008834 -0.5736403 0.8452257 -0.5952736 0.8993734 0.0011826 0.0006839 3.41e-05 0.0001007 0.0147424 0.0366115 0.7902247 0.000682518811497457 0.000274209322610222 0.00242773912981703 0.000289895966002944 0.00416740019381701 0.000281301431338314 0.102073476168181 0.000325153869688131 0.305569549369884 0.000554495922890368 0.127863684784192 0.000405517989275215 0.454687299016386 0.000329463247870489 3.44126590628759e-05 3.38821174882197e-05
8.26148 14.21006 11.15219 0.5 0.6678 152.36178 128 487 24.9277 24.9277 10.60274 93.79521 10.85883 137.31459 385 385 22 16.466 20.599 0.004 0.063 2.338 4.603 7.798 11.415 6.326 12.581 -9 0 0.0022815 0.0044806 0.0034574 0.0049353 0.0024421 0.0045474 0.0039811 0.0049963 -0.1535677 0.7777365 -0.6834391 0.9039418 0.003216 0.0048293 0.0003465 0.0014407 0.0555959 0.118028 0.7916014 0.000153628256600332 9.97942270910145e-05 0.00325726167678815 9.94837815683962e-05 0.0017811660944228 9.59483171417528e-05 0.13214750855827 9.70378186310488e-05 0.0224936695935919 9.80396933209057e-05 0.799290846043002 9.4759272681801e-05 0.0399997220965575 9.73666721325917e-05 9.75724388341591e-05 9.6195459365801e-05
11.08137 28.7556 7.08395 0.5 17.13417 80.32366 47 183 20.55474 20.55474 3.74724 26.49645 15.78115 158.86327 145 145 23 20.556 11.02 0 0 4.226 2.893 6.856 4.575 9.474 7.952 -9 0 0.0036523 0.0029325 0.0039801 0.0031487 0.0038616 0.0025757 0.0046029 0.002798 -0.3266794 0.9026815 -0.6810376 0.8341874 0.0040081 0.0031346 0.0001919 0.0005283 0.0223453 0.0404732 0.9086904 0.00797745134473743 0.000223460873560299 0.0130800670853143 0.000225324735673205 0.0147023743222693 0.000224932259091771 0.431079815093682 0.00115495975315252 0.0816906113394613 0.00315682379060946 0.35185319660558 0.00310621989198675 0.086926151325797 0.00414479375553003 0.000228272629567552 0.0002255451939872
26.86134 19.16702 28.76888 0.5 18.1549 150.47435 410 435 8.05604 8.05604 4.50359 73.79805 11.73561 153.46206 29 29 24 83.92 43.01 0 0 20.524 13.628 18.9 12.907 44.496 29.159 -9 0 0.020586 0.0135757 0.0197202 0.012474 0.0205624 0.0122733 0.0196514 0.0115865 -0.2185618 0.7834738 -0.1501237 0.7753939 0.0212761 0.0133978 0.001123 0.0020176 0.0285515 0.0452131 0.9289107 0.210891593110244 0.000212479235051047 0.382584880047922 0.000213616145598889 0.121844504339894 0.000213000063866086 0.0741343837975836 0.00021351732722464 0.0026232665804478 0.000212658710914913 0.189164236759082 0.000213893990516514 0.0168388041622649 0.000213103638622555 0.000212826961549158 0.000213235129219474
2.42549 12.57052 6.8393 0.5 5.58443 119.65612 241 408 4.70098 4.70098 0.88837 198.93668 4.16333 15.31336 248 248 25 22.252 11.837 0.532 2.05 3.116 3.952 12.688 9.654 5.916 8.234 -8.654 2.604 0.0026934 0.0032544 0.0047127 0.0035183 0.0025458 0.0028789 0.0052439 0.0032304 0.0471012 0.8697253 -0.4725171 0.9530709 0.0053466 0.0039255 0.0016436 0.0027035 0.1711404 0.2217049 0.5354501 0.0515594807241851 0.000132730508812831 0.0453304979575806 0.000132913517875603 0.0992644735744105 0.000132476514329128 0.143269965354499 0.00595079750400098 0.0972177820413186 0.000132697489851014 0.556213044433011 0.000131924481268313 0.000132485539356743 0.000132613095189185 0.000132809533047358 0.000133307731263891
11.82271 19.37926 27.91621 0.5 2.96155 47.94312 170 415 18.44572 18.44572 8.91625 154.72519 5.56263 61.02534 277 277 26 17.418 18.789 0.002 0.045 4.018 4.192 6.906 7.912 6.492 12.452 -9 0 0.0026961 0.0050325 0.0031227 0.005173 0.0030408 0.0046826 0.0038413 0.0049206 -0.4447216 0.9748103 -0.8430669 0.9078666 0.0031329 0.0051611 0.0002235 0.0006192 0.0468533 0.0921252 0.927177 0.00664058727542393 0.000115498524153406 0.112618838326984 0.000115378564514976 0.0208186107950866 0.000115284852151192 0.651228183459043 0.000115402311829402 0.0166465082856133 0.000115619383157103 0.164743121022786 0.00011557610367254 0.0262651145933839 0.000115453157229292 0.000115142824684507 0.00011568052028717
15.24607 29.38272 21.50314 0.5 15.6594 151.71156 478 467 2.17949 2.17949 17.40975 149.86764 17.34708 30.47553 494 494 27 25.796 13.472 0 0 8.4 3.736 9.434 3.944 7.962 9.466 -9 0 0.00342 0.0032684 0.0034848 0.0033114 0.0046119 0.0032113 0.0049034 0.0032784 -1.0630556 0.6840778 -1.1884764 0.6488662 0.0035001 0.0032836 4.77e-05 0.0001541 0.0080324 0.0226866 0.9672562 0.018730182093513 0.000123017603344434 0.0857945471324275 0.00012316293950175 0.429838680619657 0.000122222977152342 0.076074237373009 0.0001224733897129 0.0821696790868135 0.00012153909923017 0.231139047156083 0.000121753454348102 0.075151447176153 0.000122387342346953 0.000122586115851856 0.000123036440855817
5.73104 9.68526 10.25421 0.5 19.98622 168.38411 12 248 7.29366 7.29366 5.27929 37.90728 2.87586 42.2299 240 240 28 25.348 12.561 0.012 0.109 3.014 4.176 10.626 9.563 11.696 9.368 -9 0 0.0048682 0.0038816 0.0068761 0.0041859 0.0041463 0.0028784 0.0062919 0.0035219 0.4548416 1.248759 0.3206884 1.0659472 0.0075738 0.0044364 0.0017016 0.0024194 0.1273854 0.1523826 0.5505698 0.00103759110217026 6.41127481419855e-05 0.00480555998713612 0.000297127363560247 0.00398082887972011 0.000271193316062107 0.127435492868453 0.00141820039330868 0.0070867721264579 0.000480917437103468 0.784893932464785 0.00100360729404253 0.0668483529077618 0.00024804536414123 6.43453367006154e-05 6.3920410455546e-05
4.08227 12.35505 3.03922 0.5 4.36259 118.48274 83 69 9.86182 9.86182 2.35655 153.68282 17.65365 52.88049 67 67 29 4.422 4.042 0.412 0.908 1.37 2.543 2.412 3.254 0.228 0.854 -8.974 0.581 0.0003613 0.0006168 0.0005597 0.0006791 0.0004504 0.0007646 0.0007441 0.0009289 -0.1751742 0.737372 -0.3432489 0.9505188 0.0011799 0.0012192 0.0007194 0.0010558 0.3454795 0.3299495 0.0607687 0.412239863520424 0.000124486009834062 0.218539853792956 0.000485321826240227 0.211049408679702 0.000123962836469064 0.113871375889508 0.00024676107479993 0.00120680549008059 0.000133766250356046 0.03954937067247 0.000918436786542103 0.00113808891161427 0.000124148837909115 0.000123920843514214 0.000124428577580275
23.12898 25.69003 23.27138 0.5 18.08125 165.16536 338 389 22.386 22.386 2.07563 91.69353 7.83553 191.82576 436 436 30 58.844 39.081 0 0 11.846 8.272 12.526 9.407 34.472 28.411 -9 0 0.0129844 0.0105563 0.0128191 0.010426 0.0132163 0.009665 0.0133865 0.0098373 -0.3718124 0.8593959 -0.4593486 0.807896 0.0130939 0.0105738 0.0001922 0.0008971 0.006692 0.0278086 0.9731229 0.00073756758465316 0.0001074437435687 0.0107587013036676 0.000107436351193798 0.00802123275333979 0.00010746322047281 0.381665031613517 0.000107504924335979 0.08055340604619 0.000107413643195054 0.456095258808168 0.000107510362010954 0.0590080515083138 0.000107487439302929 0.00230097643400496 0.000107514264065155
0.67043 10.4397 29.63211 0.5 18.79484 49.02793 47 4 14.51696 14.51696 4.29661 11.29284 15.81279 60.61671 64 64 31 48.306 25.121 0 0 1.644 4.533 26.564 22.866 20.098 21.166 -9 0 0.0070471 0.0083345 0.0150163 0.0092241 0.0061284 0.006265 0.0131526 0.007025 0.307067 1.5074477 0.4238833 1.2606333 0.0137414 0.0095357 0.0027097 0.0040938 0.0981136 0.1081422 0.5153307 0.000257826316289596 0.000145441619673036 0.000787222421602066 0.00102793094319897 0.000327273373489555 0.00167346825671949 0.0219982615401903 0.0016638760666454 0.00249306229027578 0.000649078558663677 0.849361337825053 0.00982972478839146 0.105282047986858 0.00421247316339363 0.000145506074006328 0.000145468775549364
7.43056 9.05304 3.11408 0.5 14.05908 29.09544 293 446 26.29247 26.29247 12.32951 105.27505 18.88878 186.55663 302 302 32 17.124 6.14 0 0 5.102 2.582 5.79 3.112 6.232 4.011 -9 0 0.0023801 0.0014158 0.0024478 0.0014631 0.0031947 0.0013611 0.0033886 0.0015037 -0.9523318 0.7486411 -1.0410106 0.6794305 0.0024505 0.0014235 3.65e-05 0.0001312 0.0071814 0.0212873 0.8870639 0.000795775883458273 0.00105780940129251 0.0278879713500582 0.00143869640936671 0.0283155347403731 0.0012266784916374 0.131622098970362 0.00174423128489296 0.226978944496537 0.00148497160679404 0.302211066793496 0.0014305870059492 0.271843787172014 0.00178158127715114 9.01785118159851e-05 9.00866048015998e-05
