dataset	bialsites_avg	bialsites_std	sf_avg	sf_std	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	Wald_avg	Wald_std	piA_avg	piA_std	piB_avg	piB_std	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	FST_avg	FST_std	corr_pi
874	33.547	46.024	7.774	18.681	4.281	10.217	15.946	24.546	5.545	12.837	0.257	20.058	0.0668905	0.1203074	0.1487954	0.1590708	0.0663360	0.1185815	0.1491500	0.1581962	0.0005015	0.7716246	-0.0958773	0.6667849	0.2239623	0.2535492	0.1161193	0.2066202	0.1990602	0.3017808	0.5232120
875	65.244	46.199	10.978	20.849	24.612	23.336	15.087	13.593	14.567	20.235	4.797	22.510	0.2623186	0.1129413	0.2021509	0.1371168	0.2625907	0.1099042	0.2011871	0.1357669	-0.0356127	0.6892615	0.0728093	0.7659676	0.3952074	0.1816696	0.1629725	0.2293197	0.2293293	0.3077269	0.2904497
876	16.658	12.313	0.037	0.342	5.292	5.385	5.159	5.088	6.170	6.583	-8.972	0.645	0.0765835	0.0429210	0.0758349	0.0431636	0.0769659	0.0412890	0.0765863	0.0426236	-0.0974211	0.7431862	-0.1082441	0.7499408	0.0764000	0.0371230	0.0001907	0.0169957	0.0001187	0.1026389	0.4220646
877	64.732	44.859	1.972	6.844	19.070	17.742	21.717	20.772	21.972	21.373	-5.691	10.068	0.2749071	0.1236524	0.2932481	0.1165568	0.2749884	0.1229893	0.2925762	0.1142798	0.0000451	0.6786796	0.0091935	0.6838846	0.3183788	0.1151315	0.0343011	0.1083567	0.0540120	0.1670817	0.3336293
878	41.623	31.664	1.055	6.819	13.488	12.853	11.394	10.684	15.686	15.527	-7.689	7.346	0.1979830	0.0921203	0.1832609	0.0972573	0.1980224	0.0908296	0.1833842	0.0969608	-0.0200367	0.6640900	0.0009071	0.7160951	0.2040937	0.0978060	0.0134718	0.0781316	0.0288894	0.1525717	0.5854363
879	54.924	38.059	1.634	4.649	19.037	16.212	18.896	16.649	15.357	15.720	-5.482	9.738	0.2326498	0.0837260	0.2308062	0.0817090	0.2331687	0.0834682	0.2320816	0.0824849	-0.0238257	0.6565644	-0.0327829	0.6118686	0.2665981	0.0956206	0.0348701	0.0848024	0.0610931	0.1564122	0.3492408
880	54.904	46.860	19.601	27.914	14.669	14.119	14.285	14.583	6.349	11.100	12.222	26.494	0.1436268	0.0816712	0.1375051	0.0770124	0.1441428	0.0810369	0.1379472	0.0762244	-0.0539576	0.7394516	-0.0471461	0.7851465	0.4101474	0.2781683	0.2695811	0.2860526	0.3465588	0.3603326	0.2445595
881	66.980	46.609	2.037	6.987	21.593	18.650	21.333	18.398	22.017	20.397	-5.285	11.333	0.2911974	0.1013764	0.2871003	0.1000002	0.2916894	0.1004747	0.2890580	0.1001643	-0.0182171	0.6091073	-0.0515185	0.5945549	0.3270858	0.1118614	0.0379369	0.1192929	0.0527203	0.1732618	0.3772530
882	44.231	37.405	1.878	11.488	13.982	14.779	12.421	13.271	15.950	16.874	-6.972	11.585	0.2009386	0.1080323	0.1914972	0.1200426	0.2015520	0.1055615	0.1908486	0.1174219	-0.0911048	0.7133285	0.0111354	0.7559303	0.2194202	0.1356941	0.0232022	0.1135445	0.0363261	0.1685191	0.6169954
883	6.150	12.125	0.791	5.609	1.372	2.827	2.311	5.281	1.677	4.007	-8.203	5.514	0.0207992	0.0316861	0.0265138	0.0390619	0.0206387	0.0313733	0.0266194	0.0379499	0.0147461	0.7700645	-0.1215306	0.7248274	0.0343010	0.0775642	0.0106445	0.0658027	0.0524262	0.1937734	0.5867521
884	62.246	44.885	0.285	1.966	17.843	15.678	18.451	16.600	25.667	23.423	-8.575	3.083	0.2904769	0.1123657	0.2904679	0.1123436	0.2891225	0.1091930	0.2901388	0.1091996	0.0321169	0.6936543	-0.0007169	0.6884192	0.2953520	0.0951345	0.0048796	0.0637972	0.0071976	0.1057081	0.3623609
885	55.087	48.513	20.353	25.073	22.946	23.220	7.795	8.887	3.993	9.127	16.133	27.556	0.1829151	0.1022330	0.0785838	0.0828684	0.1825721	0.1004108	0.0789282	0.0830080	-0.0136029	0.7055578	-0.0624655	0.7970541	0.4210754	0.2526328	0.2903261	0.2460329	0.4072283	0.3443696	0.1740243
886	46.660	43.251	13.717	16.213	4.808	5.615	26.915	27.615	1.220	4.796	12.375	19.796	0.0411440	0.0469068	0.1888577	0.1224675	0.0407863	0.0452273	0.1887310	0.1221052	0.0394952	0.8802011	0.0157930	0.7105525	0.3285495	0.2047933	0.2135487	0.1683857	0.3925762	0.2783073	0.1388230
887	54.373	46.880	9.649	15.655	23.207	25.445	12.274	12.807	9.244	14.204	6.909	22.886	0.2142283	0.1059076	0.1430879	0.1079941	0.2151358	0.1051467	0.1433606	0.1071906	-0.0522041	0.6575465	-0.0379089	0.7650039	0.3292319	0.1961733	0.1505736	0.1897876	0.2238462	0.2937823	0.3135544
888	42.359	34.926	18.954	22.111	8.268	8.293	12.176	12.505	2.961	6.136	11.904	22.184	0.0772340	0.0552228	0.1032337	0.0605747	0.0772504	0.0545376	0.1041466	0.0612317	-0.0148385	0.8366646	-0.0765701	0.7907521	0.3520197	0.2272380	0.2617858	0.2259909	0.4427448	0.3733405	0.2312114
889	67.281	47.619	22.388	25.020	14.778	13.727	24.863	20.502	5.251	13.272	18.713	25.295	0.1300479	0.0904169	0.2025272	0.0937181	0.1294971	0.0890549	0.2033125	0.0914164	0.0168274	0.7923607	-0.0653904	0.7038023	0.4972678	0.2074115	0.3309804	0.2366614	0.4551631	0.3017757	0.0982476
890	9.057	7.148	0.043	0.286	2.808	3.068	3.516	3.846	2.691	3.501	-9.000	0.000	0.0372262	0.0263759	0.0405333	0.0272127	0.0373889	0.0261232	0.0412309	0.0268924	-0.0658747	0.7771968	-0.1761766	0.7464623	0.0412899	0.0240752	0.0024102	0.0117013	0.0320794	0.1360370	0.4855497
891	27.309	26.447	0.540	4.842	7.407	9.451	8.399	10.395	10.963	13.951	-8.401	4.392	0.1256687	0.1051500	0.1304181	0.1035050	0.1238474	0.1028303	0.1306680	0.1024492	0.1135821	0.9080974	-0.0333789	0.8266503	0.1400344	0.1136668	0.0119911	0.0650360	0.0293116	0.1463087	0.6501987
892	36.961	27.007	0.196	1.125	11.373	11.088	10.719	10.067	14.673	13.380	-8.660	2.660	0.1747672	0.0869829	0.1713644	0.0859071	0.1752987	0.0856251	0.1720455	0.0838592	-0.0400936	0.6971470	-0.0820761	0.7151315	0.1759792	0.0772646	0.0029133	0.0413065	0.0072434	0.1112847	0.5612480
893	52.386	47.615	19.425	27.235	26.100	25.574	4.187	8.946	2.675	8.704	10.750	23.186	0.1954244	0.1280609	0.0465435	0.0907427	0.1947853	0.1258152	0.0465711	0.0891444	-0.0225966	0.7232736	-0.0478880	0.8517492	0.4077778	0.2746188	0.2867938	0.2649194	0.4356262	0.3092880	0.1943861
894	28.068	20.755	0.427	1.979	9.773	8.670	10.274	9.702	7.595	8.454	-8.449	3.651	0.1172216	0.0516908	0.1182924	0.0530892	0.1171037	0.0505888	0.1187739	0.0517421	-0.0047684	0.7011223	-0.0663274	0.6791152	0.1315780	0.0545458	0.0138209	0.0385172	0.0502063	0.1402928	0.3906800
895	35.616	32.101	7.996	16.289	8.041	8.213	12.349	14.327	7.229	9.412	1.401	19.534	0.1059142	0.0713524	0.1345836	0.0771159	0.1057277	0.0706452	0.1344518	0.0757953	0.0028980	0.7950732	-0.0171219	0.7658085	0.2324583	0.1812258	0.1122095	0.1834045	0.1967908	0.3253760	0.4227849
896	22.667	20.131	1.098	6.876	6.412	6.903	6.401	7.250	8.756	9.916	-7.821	6.870	0.1026369	0.0614652	0.1006696	0.0614453	0.1021444	0.0590758	0.1011807	0.0610507	-0.0030596	0.7878340	-0.0650340	0.7379745	0.1176279	0.1054923	0.0159746	0.0945446	0.0248686	0.1688979	0.5882890
897	59.342	42.358	1.521	5.405	19.982	17.090	17.224	15.108	20.616	21.146	-6.486	8.767	0.2696882	0.1019241	0.2495126	0.1126584	0.2698449	0.1000628	0.2505094	0.1112559	-0.0135207	0.6546986	-0.0536587	0.6403660	0.2901424	0.1080281	0.0305420	0.1029753	0.0534069	0.1651310	0.4716121
898	70.427	48.513	5.802	9.252	26.344	22.213	26.874	22.307	11.407	16.901	2.433	17.083	0.2508495	0.0892081	0.2548248	0.0871601	0.2521197	0.0894251	0.2556153	0.0858536	-0.0436440	0.6073784	-0.0376244	0.6231620	0.3764843	0.1158177	0.1236472	0.1378353	0.1926753	0.2112785	0.0700288
