dataset	bialsites_avg	bialsites_std	sf_avg	sf_std	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	Wald_avg	Wald_std	piA_avg	piA_std	piB_avg	piB_std	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	FST_avg	FST_std	corr_pi
190	22.142	24.374	11.845	20.374	5.762	7.167	1.950	2.992	2.586	4.684	-1.477	13.594	0.0563132	0.0442694	0.0324747	0.0432304	0.0561987	0.0437487	0.0320947	0.0412710	-0.0080510	0.8366053	0.0401905	0.8292753	0.1946533	0.1955435	0.1502593	0.2008490	0.3437687	0.4325983	0.3400629
191	44.298	34.725	4.749	10.621	15.697	15.654	12.933	12.965	10.919	12.953	-1.196	15.919	0.1786967	0.0857995	0.1584995	0.0837302	0.1793567	0.0857665	0.1588927	0.0830006	-0.0413306	0.7064488	-0.0243218	0.7110557	0.2440826	0.1352114	0.0754846	0.1375037	0.1441926	0.2582398	0.4545351
192	62.689	49.184	18.207	23.627	25.460	25.265	11.421	11.657	7.601	14.556	14.466	26.449	0.2221826	0.1057104	0.1291455	0.1148203	0.2217448	0.1034828	0.1295753	0.1142735	-0.0194648	0.6788983	-0.0519369	0.7659189	0.4420235	0.2189805	0.2663594	0.2456216	0.3681009	0.3334427	0.2803789
193	55.660	35.994	4.784	7.873	18.078	14.250	25.538	19.361	7.261	12.709	-0.556	13.695	0.1685002	0.0803113	0.2210464	0.0938557	0.1685974	0.0791977	0.2214530	0.0937705	-0.0187501	0.7155765	0.0032655	0.7040625	0.3190159	0.1154545	0.1242427	0.1155273	0.2416738	0.2000986	0.0599743
194	31.898	23.285	0.858	2.494	10.686	9.168	12.721	12.279	7.634	8.867	-7.466	6.052	0.1225334	0.0547943	0.1348826	0.0535647	0.1233881	0.0553662	0.1360679	0.0542109	-0.0432073	0.6789619	-0.0676930	0.6317918	0.1508083	0.0580975	0.0221003	0.0469411	0.0735974	0.1558706	0.3077698
195	52.144	44.174	15.821	19.403	24.664	24.931	7.055	8.719	4.604	10.596	13.893	24.724	0.1958092	0.1080691	0.0788297	0.0925062	0.1957998	0.1075607	0.0788329	0.0919388	-0.0130578	0.6774433	-0.0169254	0.8150046	0.3652605	0.2115390	0.2279409	0.2029764	0.3676349	0.3202313	0.2105047
196	24.577	24.455	3.636	7.576	5.281	6.104	10.913	13.896	4.747	8.235	-2.553	12.887	0.0695974	0.0654830	0.1032083	0.0746763	0.0696182	0.0648374	0.1037224	0.0747753	-0.0317456	0.8582661	-0.0459686	0.7401301	0.1427570	0.1134117	0.0563542	0.0953948	0.1614099	0.2702180	0.3670375
197	12.030	21.192	2.627	9.672	4.678	10.577	2.161	3.745	2.564	5.032	-5.819	11.353	0.0489863	0.0703833	0.0321694	0.0427901	0.0492672	0.0703689	0.0322304	0.0431134	-0.0690379	0.7818884	0.0114057	0.8396924	0.0820003	0.1629294	0.0414224	0.1369823	0.0748296	0.2448133	0.3658157
198	23.120	18.043	1.664	5.026	6.791	6.636	7.619	8.732	7.046	8.675	-6.427	7.738	0.0920771	0.0587390	0.0971193	0.0573611	0.0922155	0.0576643	0.0979016	0.0575887	-0.0376407	0.7809148	-0.0672508	0.7879415	0.1234509	0.0816754	0.0288527	0.0777262	0.0965493	0.2394974	0.4834636
199	38.808	28.154	0.433	2.007	13.865	12.762	14.510	13.429	10.000	8.806	-8.272	4.455	0.1594599	0.0500218	0.1645251	0.0557690	0.1613064	0.0506435	0.1670234	0.0569985	-0.1033607	0.5889175	-0.1324971	0.5955971	0.1737349	0.0514593	0.0117424	0.0390499	0.0326185	0.1178730	0.3642979
200	47.063	43.937	4.499	9.047	20.932	26.560	10.671	11.878	10.961	18.954	-1.821	13.841	0.2107834	0.1363068	0.1449548	0.1323362	0.2103177	0.1336112	0.1438481	0.1308650	-0.0456594	0.7225260	0.0291501	0.8229049	0.2680517	0.1804591	0.0901828	0.1523803	0.1591730	0.2475519	0.4451675
201	62.338	43.007	9.617	17.506	19.948	17.533	18.763	16.311	14.009	18.304	4.845	22.654	0.2306291	0.0963128	0.2221716	0.1045548	0.2302858	0.0932447	0.2221946	0.1036253	-0.0020479	0.6930009	-0.0091956	0.6969859	0.3774604	0.1864753	0.1510600	0.2170223	0.2033500	0.2899297	0.3155065
202	39.013	32.898	3.096	9.525	11.118	11.566	14.440	16.760	10.359	13.343	-4.532	12.506	0.1466345	0.1030171	0.1699694	0.1043239	0.1460428	0.1001370	0.1695579	0.1005564	-0.0052999	0.7874736	-0.0513072	0.7584175	0.2126195	0.1477977	0.0543177	0.1240397	0.1025646	0.2163494	0.4786735
203	34.516	27.309	1.348	3.761	11.647	12.136	13.018	13.396	8.503	9.458	-6.314	7.953	0.1359339	0.0670835	0.1452799	0.0641620	0.1364391	0.0665419	0.1463118	0.0637317	-0.0344035	0.6993939	-0.0670037	0.7011191	0.1709839	0.0780010	0.0303770	0.0632966	0.0849520	0.1768459	0.4097302
204	61.954	44.033	5.799	9.264	23.730	21.812	21.804	18.871	10.621	14.947	2.351	16.962	0.2287184	0.0836125	0.2185881	0.0818622	0.2303745	0.0832166	0.2200923	0.0813148	-0.0725497	0.6117991	-0.0713417	0.6356267	0.3388930	0.1322389	0.1152398	0.1398183	0.1841641	0.2279692	0.1556330
205	35.375	41.676	4.532	14.777	12.921	18.762	7.754	11.690	10.168	15.148	-3.562	16.580	0.1530448	0.1287590	0.1213224	0.1259923	0.1538652	0.1290763	0.1211685	0.1249018	-0.0556585	0.7367751	-0.0292526	0.8193696	0.2003792	0.2056098	0.0631955	0.1755742	0.0899342	0.2474921	0.6583444
206	43.198	32.528	0.693	2.848	13.625	14.519	12.608	12.405	16.272	16.411	-7.893	5.063	0.1974957	0.1002414	0.1954858	0.1038237	0.1963055	0.0978250	0.1956617	0.1028586	0.0346281	0.7740341	-0.0173235	0.7524843	0.2111253	0.0978054	0.0146345	0.0675486	0.0321558	0.1501611	0.5171067
207	28.495	26.847	2.157	8.597	6.532	8.437	9.612	12.761	10.194	12.596	-6.362	9.983	0.1136313	0.0963921	0.1331101	0.0955827	0.1137391	0.0959552	0.1326697	0.0940837	-0.0137169	0.7953783	0.0075722	0.7951696	0.1508977	0.1242099	0.0275270	0.1072747	0.0555789	0.2187542	0.6398295
208	52.922	42.996	8.466	14.758	14.832	14.428	20.675	21.321	8.950	12.324	5.015	21.676	0.1612237	0.0788316	0.2023046	0.0868685	0.1605692	0.0769225	0.2022397	0.0869850	0.0104453	0.7185220	0.0251882	0.7123203	0.3168290	0.1868273	0.1350649	0.1789833	0.2019788	0.2704279	0.1811083
209	62.283	41.955	3.982	7.192	24.458	19.526	24.695	20.360	9.148	12.458	-1.924	12.429	0.2291241	0.0953739	0.2279171	0.0912770	0.2293496	0.0936805	0.2286439	0.0900237	-0.0148830	0.6313752	-0.0473639	0.6222910	0.3313589	0.1122797	0.1028382	0.1087291	0.1862911	0.1764441	0.1231389
210	42.675	30.587	0.747	2.456	15.061	13.109	16.678	14.418	10.189	10.906	-7.828	5.105	0.1677763	0.0720848	0.1770457	0.0660514	0.1696485	0.0715794	0.1805058	0.0669878	-0.1158137	0.6108658	-0.1917711	0.5107217	0.1939004	0.0662754	0.0214894	0.0491839	0.0599721	0.1351317	0.4014511
211	41.105	30.614	2.739	10.109	12.939	13.891	11.669	11.030	13.758	14.714	-5.312	12.431	0.1800175	0.0915171	0.1714431	0.0930896	0.1800831	0.0911248	0.1718011	0.0901459	-0.0111504	0.6936406	-0.0826744	0.6889672	0.2169254	0.1302518	0.0411951	0.1275943	0.0712590	0.2154828	0.4583924
212	53.811	37.015	1.521	5.012	17.874	17.042	18.272	17.014	16.144	16.859	-6.647	7.539	0.2311160	0.1038375	0.2327104	0.1073482	0.2295152	0.1008524	0.2335054	0.1044933	0.0535408	0.7465906	-0.0689000	0.6805536	0.2757715	0.1110684	0.0438583	0.0940317	0.0815714	0.1720929	0.3511608
213	40.556	29.333	0.198	0.960	14.741	12.694	12.896	11.856	12.721	12.691	-8.686	2.442	0.1831366	0.0826714	0.1696742	0.0788160	0.1848024	0.0821565	0.1707910	0.0778635	-0.0995232	0.6320008	-0.0922788	0.6596344	0.1867407	0.0710721	0.0103352	0.0394924	0.0316430	0.1091725	0.4582584
214	57.434	42.523	8.375	22.302	14.092	14.515	18.610	16.857	16.357	18.572	-0.166	20.665	0.2054199	0.1303581	0.2402911	0.1092388	0.2057141	0.1295340	0.2404981	0.1065757	-0.0427473	0.6944100	-0.0367864	0.6515082	0.3318446	0.2026847	0.1089887	0.2327288	0.1400031	0.2917016	0.4733375
215	20.850	15.224	0.355	1.503	7.079	7.090	7.534	6.644	5.882	6.371	-8.414	3.546	0.0858840	0.0434256	0.0910814	0.0415626	0.0866265	0.0434915	0.0924761	0.0418376	-0.0748198	0.7302275	-0.1350635	0.6607081	0.0960550	0.0388098	0.0075724	0.0269784	0.0421067	0.1411605	0.4710647
216	42.275	32.121	0.336	2.009	11.322	11.710	12.525	12.909	18.092	18.236	-8.512	3.366	0.1992954	0.1100229	0.2060292	0.1052794	0.1990769	0.1078075	0.2062499	0.1039827	-0.0182519	0.7334328	-0.0126519	0.7351887	0.2069906	0.0972720	0.0043281	0.0558268	0.0084072	0.1273432	0.5871233
217	51.719	36.787	0.342	1.423	15.362	14.879	15.954	16.100	20.061	19.717	-8.384	3.377	0.2360018	0.1123608	0.2405065	0.1123822	0.2355309	0.1124134	0.2399028	0.1100914	0.0500870	0.7464190	0.0113954	0.6998258	0.2538435	0.0946574	0.0155893	0.0592181	0.0387103	0.1266385	0.4318811
218	18.843	13.245	0.198	0.740	7.362	6.475	7.651	6.286	3.632	4.722	-8.865	1.598	0.0727826	0.0319303	0.0741161	0.0324292	0.0740141	0.0321886	0.0752878	0.0329514	-0.1620322	0.6198652	-0.1422384	0.6712503	0.0834390	0.0306678	0.0099897	0.0202910	0.0638995	0.1285048	0.2788724
219	53.808	39.504	0.222	1.750	15.723	16.268	16.880	16.449	20.983	18.593	-8.640	2.879	0.2456483	0.1134424	0.2539673	0.1145214	0.2454685	0.1124659	0.2541780	0.1127487	0.0012705	0.7311887	-0.0218342	0.6725994	0.2565282	0.0998206	0.0067205	0.0604621	0.0124927	0.1095368	0.4227685
220	54.118	38.215	0.137	0.921	16.024	14.346	16.880	14.501	21.078	18.579	-8.828	1.850	0.2461855	0.1002554	0.2545041	0.0923038	0.2475033	0.0991659	0.2562279	0.0915192	-0.0490582	0.6582681	-0.0750870	0.6201194	0.2484866	0.0777887	-0.0018581	0.0404836	-0.0024076	0.0906087	0.4652657
221	68.941	46.563	14.078	18.548	25.660	21.352	19.444	16.855	9.760	16.209	12.793	25.032	0.2407945	0.0920546	0.1966939	0.1038605	0.2412910	0.0912523	0.1970832	0.1032312	-0.0134828	0.6782259	-0.0282175	0.7038640	0.4401427	0.1787283	0.2213984	0.2188026	0.3030160	0.2944554	0.1606682
222	55.013	38.921	0.288	2.443	17.566	15.261	16.451	14.833	20.708	17.293	-8.495	4.273	0.2569155	0.0885494	0.2498633	0.0968975	0.2580436	0.0876842	0.2509933	0.0965371	-0.0467638	0.5785069	-0.0472428	0.6290897	0.2539615	0.0812729	0.0005719	0.0475723	0.0000981	0.0966093	0.5650465
223	62.444	43.956	2.329	7.807	19.799	16.814	18.248	16.513	22.068	21.008	-5.098	12.261	0.2792743	0.1048006	0.2648076	0.1135435	0.2806420	0.1042300	0.2645659	0.1117814	-0.0611334	0.5925485	-0.0016510	0.6580008	0.3119504	0.1267155	0.0399092	0.1293221	0.0558082	0.1864908	0.4842099
224	43.155	32.407	1.510	4.351	12.575	12.130	16.871	15.742	12.200	14.395	-6.176	8.233	0.1646392	0.0962135	0.1959329	0.0878706	0.1656801	0.0957187	0.1970501	0.0864208	-0.0709104	0.7288411	-0.0770730	0.6626854	0.2091905	0.0852593	0.0289044	0.0687860	0.0812570	0.1776195	0.4978865
225	45.466	29.573	0.190	0.962	15.397	12.254	15.140	12.362	14.738	11.973	-8.750	2.372	0.2028984	0.0636823	0.2005514	0.0646138	0.2061977	0.0646309	0.2029132	0.0650629	-0.1601354	0.5193560	-0.1123127	0.5558631	0.2064895	0.0591813	0.0047646	0.0404830	0.0087820	0.0979541	0.3434153
226	14.945	11.072	0.059	0.517	5.261	5.105	5.362	4.967	4.262	4.656	-8.908	1.242	0.0636735	0.0371327	0.0651302	0.0378938	0.0646159	0.0370153	0.0657287	0.0370717	-0.1629358	0.7049982	-0.1324255	0.7303697	0.0669417	0.0328491	0.0025399	0.0164322	0.0193153	0.1105409	0.4928783
227	28.527	35.951	13.810	21.781	11.527	15.844	2.357	2.910	0.834	2.053	5.930	19.847	0.0847410	0.0864162	0.0218386	0.0220229	0.0847343	0.0854197	0.0219728	0.0220895	-0.0677864	0.7557396	-0.0409016	0.8161759	0.2459704	0.2473731	0.1926806	0.2190335	0.3674914	0.3759036	0.0659459
228	44.776	38.431	6.806	12.462	9.322	10.667	21.288	23.348	7.360	13.950	1.248	16.239	0.1141912	0.1071389	0.1936363	0.1172166	0.1144089	0.1077010	0.1932244	0.1151967	-0.0073079	0.8347474	0.0192769	0.7987587	0.2652803	0.1560405	0.1113667	0.1431843	0.2316885	0.2664866	0.3413987
229	32.375	28.877	1.893	6.994	8.651	9.848	11.198	13.555	10.634	14.772	-6.383	8.844	0.1299857	0.0929267	0.1440265	0.0975717	0.1297376	0.0904222	0.1442174	0.0953515	-0.0372518	0.8140308	-0.0636984	0.8031438	0.1702061	0.1165089	0.0332000	0.0950060	0.0806678	0.2069733	0.5233975
230	49.643	42.944	6.579	17.442	16.863	17.574	11.974	12.716	14.227	18.234	-0.680	19.746	0.2098475	0.1187033	0.1760538	0.1298540	0.2098290	0.1173308	0.1768061	0.1301057	-0.0309568	0.6586071	-0.0475525	0.6970040	0.2883877	0.2002839	0.0954370	0.2030823	0.1319632	0.2836018	0.6048060
231	67.978	47.381	3.529	8.746	22.649	21.184	22.201	21.014	19.599	22.319	-2.921	13.252	0.2841569	0.1093355	0.2790186	0.1148478	0.2849146	0.1072612	0.2792500	0.1129456	-0.0380533	0.6567735	-0.0263849	0.6529772	0.3515803	0.1212447	0.0699926	0.1377209	0.1031031	0.2011788	0.1782397
232	30.048	21.192	0.046	0.475	11.274	9.190	11.157	8.948	7.571	7.147	-8.963	0.860	0.1226896	0.0450587	0.1221828	0.0468770	0.1260152	0.0461165	0.1252784	0.0485808	-0.2513059	0.4972605	-0.2186736	0.5681036	0.1239421	0.0378674	0.0015060	0.0171583	0.0089025	0.0775448	0.4727371
233	49.804	44.823	13.054	20.260	10.292	11.146	20.414	21.861	6.044	9.706	9.294	25.407	0.1106239	0.0805687	0.1794134	0.0961280	0.1107944	0.0800581	0.1795394	0.0958301	-0.0386916	0.7941058	0.0066480	0.7246506	0.3486691	0.2564855	0.2036505	0.2411501	0.2743492	0.3195005	0.1678108
234	26.606	26.765	2.447	7.287	10.155	13.409	6.808	8.145	7.196	10.139	-4.586	11.885	0.1123473	0.0766088	0.0914363	0.0738591	0.1130323	0.0764377	0.0917280	0.0734031	-0.0774544	0.7274787	-0.0699177	0.7821175	0.1385175	0.1094782	0.0366257	0.0879325	0.0912377	0.2253428	0.5722424
235	52.943	41.036	2.094	10.676	16.405	16.612	15.604	13.885	18.839	18.334	-6.168	12.933	0.2353240	0.1036396	0.2324718	0.1096912	0.2358734	0.1031807	0.2333073	0.1097984	-0.0099907	0.6841867	-0.0298720	0.6186199	0.2589973	0.1216894	0.0250993	0.1126524	0.0370250	0.1717812	0.5037345
236	60.555	44.656	2.924	10.325	19.475	17.790	18.344	16.267	19.811	19.404	-4.481	14.661	0.2617278	0.1045134	0.2533392	0.1124868	0.2630050	0.1042736	0.2551834	0.1133933	-0.0414063	0.6547846	-0.0618236	0.5872612	0.3023782	0.1322418	0.0448448	0.1342646	0.0637530	0.1953883	0.4599766
237	35.721	27.146	0.688	3.310	8.418	9.388	14.152	14.937	12.464	13.596	-8.068	4.868	0.1449267	0.1003702	0.1805304	0.0953681	0.1437953	0.0990251	0.1810822	0.0950073	0.0810357	0.9380018	-0.0297477	0.7758227	0.1828761	0.0867138	0.0201474	0.0604000	0.0661440	0.1716661	0.4081062
238	58.989	46.185	11.767	16.361	15.832	14.809	24.810	23.796	6.580	11.941	10.070	22.988	0.1505421	0.0877813	0.2147945	0.1009914	0.1504476	0.0868749	0.2149737	0.1000850	-0.0196744	0.7659543	-0.0234451	0.7019334	0.3765761	0.1948835	0.1939079	0.1905177	0.2886928	0.2776223	0.1540638
239	60.192	53.125	18.107	21.594	34.377	34.919	4.307	7.905	3.401	10.912	14.880	22.910	0.2462819	0.1417068	0.0522041	0.0987405	0.2450891	0.1394397	0.0522037	0.0986270	0.0281815	0.6949621	-0.0229545	0.7926260	0.4163223	0.2223061	0.2670793	0.2074665	0.4162131	0.2909352	0.1510090
240	44.861	33.772	6.089	15.363	12.451	12.749	13.503	12.934	12.819	14.636	-1.349	17.394	0.1724712	0.0934265	0.1794577	0.0911814	0.1716207	0.0895753	0.1791847	0.0878637	0.0108979	0.7738798	-0.0089466	0.6907231	0.2715473	0.2056815	0.0955828	0.2107881	0.1235631	0.2755152	0.5314235
241	42.763	38.709	34.863	34.890	4.878	5.619	2.177	2.690	0.845	2.419	3.616	15.602	0.0380611	0.0294677	0.0211770	0.0231672	0.0383070	0.0287845	0.0209742	0.0224741	-0.0808255	0.8480015	0.0562091	0.8697736	0.4621373	0.2908237	0.4325184	0.2957483	0.6849909	0.4108032	0.1620562
242	15.447	11.101	0.457	1.171	6.813	6.409	5.530	4.948	2.647	4.246	-8.573	2.858	0.0631802	0.0301335	0.0551883	0.0289501	0.0641995	0.0305374	0.0559452	0.0290788	-0.1461295	0.6821848	-0.1373864	0.6926329	0.0739412	0.0312882	0.0147570	0.0232415	0.1071430	0.1679779	0.2542086
243	65.662	48.783	8.858	17.165	18.965	16.915	22.608	21.375	15.231	19.705	3.983	22.265	0.2328905	0.1221591	0.2561901	0.1101355	0.2319329	0.1194653	0.2565371	0.1087822	0.0152245	0.7263439	-0.0286461	0.6683524	0.3793670	0.1796949	0.1348267	0.2080992	0.1808311	0.2788892	0.4577770
244	33.660	24.236	0.177	0.977	12.183	10.447	12.275	10.513	9.024	8.738	-8.756	2.188	0.1394445	0.0567215	0.1392174	0.0542830	0.1420653	0.0573634	0.1421548	0.0546102	-0.1762769	0.5803740	-0.2129463	0.5340276	0.1444541	0.0507916	0.0051232	0.0292217	0.0163388	0.0983942	0.4596033
245	68.477	47.231	9.410	17.019	17.915	15.092	24.165	22.862	16.987	21.467	4.519	21.638	0.2354752	0.1342233	0.2780069	0.1088401	0.2355592	0.1320042	0.2773892	0.1066439	-0.0363630	0.6750175	0.0126607	0.7080638	0.4103118	0.1723971	0.1535708	0.2208156	0.2065881	0.2922094	0.4104420
246	59.991	44.128	5.662	9.388	21.165	19.235	23.177	21.730	9.987	14.348	2.259	17.388	0.2132846	0.0762430	0.2201678	0.0770622	0.2134692	0.0757048	0.2221004	0.0770984	0.0013567	0.6883723	-0.0789676	0.5848225	0.3257272	0.1330404	0.1090007	0.1358230	0.1759761	0.2250690	0.1273815
247	1.002	2.890	0.152	2.510	0.460	0.878	0.226	0.639	0.165	0.630	-9.000	0.000	0.0040046	0.0067967	0.0023669	0.0052414	0.0040554	0.0067660	0.0024036	0.0052457	-0.0512209	0.5560507	-0.0232789	0.4844938	0.0059420	0.0351662	0.0027563	0.0346976	0.1296111	0.2507977	0.3578105
248	37.647	33.492	3.612	8.173	15.089	18.075	9.799	9.867	9.148	13.070	-2.726	13.275	0.1604952	0.0970642	0.1292482	0.0947639	0.1604225	0.0958495	0.1288153	0.0933177	-0.0418727	0.7333343	0.0224725	0.7922765	0.2050420	0.1362506	0.0601705	0.1161880	0.1289009	0.2425513	0.5188894
249	41.835	37.516	7.874	20.165	10.582	10.812	11.830	12.915	11.549	14.142	-0.364	20.373	0.1518696	0.0879600	0.1572662	0.0875400	0.1515435	0.0862575	0.1568879	0.0863363	-0.0083892	0.7764362	-0.0000617	0.7526019	0.2549352	0.2052388	0.1003672	0.2129879	0.1399645	0.3020878	0.5441055
250	56.689	40.810	4.118	8.474	19.135	17.102	20.067	17.692	13.370	17.045	-0.824	15.597	0.2152177	0.0937355	0.2224703	0.0863357	0.2166959	0.0930213	0.2226400	0.0847416	-0.0804656	0.5996792	-0.0175630	0.6928887	0.2969972	0.1333466	0.0781532	0.1304171	0.1282711	0.2147052	0.3940084
251	17.146	20.617	2.096	11.028	4.148	5.355	5.628	7.434	5.274	6.774	-6.854	10.256	0.0625525	0.0504923	0.0745640	0.0574765	0.0628749	0.0510261	0.0752088	0.0584146	-0.0667728	0.8020043	-0.0741957	0.7945455	0.0948606	0.1230748	0.0263024	0.1107548	0.0490379	0.2027592	0.5792086
252	13.233	15.366	2.190	9.234	3.994	5.917	3.366	4.951	3.682	4.688	-7.238	7.437	0.0534004	0.0459672	0.0488562	0.0468348	0.0533883	0.0453032	0.0485772	0.0458431	-0.0096038	0.9111819	0.0362668	0.8687562	0.0807720	0.1130283	0.0296437	0.1086054	0.0796183	0.2429389	0.5599349
253	37.444	27.949	0.414	2.814	11.113	10.828	10.889	10.906	15.028	13.940	-8.433	3.870	0.1754364	0.0878072	0.1733771	0.0854426	0.1759255	0.0876820	0.1736768	0.0842465	-0.0353418	0.7421616	-0.0364928	0.7118387	0.1819634	0.0896572	0.0075566	0.0661543	0.0131648	0.1404299	0.5827755
254	44.074	40.244	4.597	13.374	14.525	15.838	12.224	12.915	12.728	17.232	-2.582	16.825	0.1795639	0.1057708	0.1616398	0.1001450	0.1807462	0.1042442	0.1618154	0.0996872	-0.1078472	0.6807219	-0.0204881	0.7784945	0.2447127	0.1818252	0.0741108	0.1694223	0.1115948	0.2456551	0.5507637
255	61.512	44.021	0.490	3.043	18.614	17.016	18.754	17.937	23.654	20.820	-8.309	4.116	0.2857213	0.1105162	0.2830319	0.1117882	0.2847756	0.1076902	0.2838733	0.1100910	0.0204957	0.6725066	-0.0391578	0.6603646	0.2942220	0.0918937	0.0098454	0.0623281	0.0183737	0.1119002	0.3670428
256	44.837	43.473	10.945	17.453	19.383	23.159	8.778	9.726	5.732	12.208	5.915	20.800	0.1683751	0.1160927	0.0959466	0.0828636	0.1690846	0.1153900	0.0969421	0.0842265	-0.0612297	0.6783676	-0.0718841	0.7919302	0.3052392	0.2421947	0.1730783	0.2189849	0.2567833	0.3131167	0.3575395
257	56.536	41.108	2.079	6.364	19.226	17.699	21.041	20.627	14.190	13.376	-5.309	11.335	0.2264129	0.0837778	0.2392831	0.0944863	0.2275433	0.0827525	0.2402424	0.0947485	-0.0618125	0.5884959	-0.0324097	0.6714025	0.2811166	0.1062801	0.0482686	0.0987184	0.0835063	0.1714486	0.2484890
258	15.116	20.449	7.754	18.085	2.802	3.556	2.323	2.988	2.237	3.681	-5.462	9.567	0.0338207	0.0294604	0.0312593	0.0287695	0.0339705	0.0289323	0.0313193	0.0286439	-0.0873166	0.8023998	-0.0157037	0.8417861	0.1256786	0.1834130	0.0931386	0.1859429	0.2057798	0.3895933	0.5224027
259	36.640	34.935	3.701	15.794	9.732	10.380	11.434	13.581	11.773	13.697	-5.135	15.251	0.1482026	0.0919431	0.1570432	0.0915508	0.1484592	0.0917564	0.1571965	0.0884544	-0.0166884	0.7528057	-0.0783949	0.7354010	0.1962161	0.1610208	0.0435930	0.1540294	0.0605641	0.2186141	0.5460991
260	41.808	32.219	3.471	8.140	14.314	14.649	13.348	13.116	10.675	13.249	-2.932	13.409	0.1674525	0.0812175	0.1614591	0.0807728	0.1673004	0.0795546	0.1623172	0.0807295	0.0056745	0.7637049	-0.0475525	0.7102677	0.2241417	0.1196798	0.0596858	0.1139789	0.1228724	0.2348123	0.4387532
261	58.579	39.489	0.930	3.540	20.543	16.652	20.170	17.651	16.935	15.904	-7.747	5.351	0.2546268	0.1055807	0.2490276	0.1047999	0.2555264	0.1044501	0.2500499	0.1026413	-0.0355049	0.6508065	-0.0668333	0.6413783	0.2835315	0.0942114	0.0317043	0.0739164	0.0643950	0.1351102	0.3172158
262	60.900	42.085	3.257	9.812	20.192	18.103	18.087	15.824	19.364	20.838	-4.222	13.610	0.2643967	0.1101108	0.2508147	0.1074893	0.2650891	0.1097746	0.2494568	0.1057914	-0.0223347	0.6667103	0.0567186	0.7239238	0.3168228	0.1422784	0.0592171	0.1556335	0.0824379	0.2110033	0.3588865
263	33.494	26.381	0.695	4.180	11.144	11.794	9.989	10.579	11.665	10.878	-7.760	7.345	0.1537816	0.0732539	0.1463463	0.0719642	0.1535845	0.0715002	0.1465140	0.0699171	-0.0051966	0.7435443	-0.0520079	0.7156364	0.1604124	0.0795832	0.0103485	0.0560609	0.0209247	0.1354354	0.5102806
264	28.867	27.685	0.560	2.805	8.915	10.251	10.505	12.393	8.887	10.259	-7.900	5.389	0.1231753	0.0948150	0.1305543	0.0926901	0.1246122	0.0958302	0.1323036	0.0941248	-0.0944022	0.6714382	-0.1124765	0.6962988	0.1374417	0.0974812	0.0105769	0.0498584	0.0243760	0.1438732	0.7206176
265	47.390	33.460	0.427	3.132	14.131	12.997	14.771	13.220	18.061	16.595	-8.468	4.149	0.2190682	0.1036188	0.2243909	0.1040837	0.2190104	0.1026084	0.2237322	0.1031346	-0.0107063	0.6940157	0.0408558	0.7044959	0.2282587	0.0984987	0.0065291	0.0575807	0.0129586	0.1167804	0.6003262
266	18.980	13.568	0.192	0.786	7.405	6.329	7.026	6.007	4.357	4.925	-8.843	1.850	0.0779413	0.0327836	0.0756138	0.0344231	0.0794662	0.0331537	0.0771756	0.0351803	-0.1899813	0.6105897	-0.1717785	0.6715605	0.0831252	0.0298889	0.0063477	0.0185433	0.0424492	0.1230095	0.3673335
267	17.745	15.181	0.190	1.016	7.534	8.248	4.932	5.352	5.089	6.144	-8.734	2.198	0.0828689	0.0519574	0.0668518	0.0470341	0.0839255	0.0512090	0.0670152	0.0467445	-0.1537552	0.6817954	-0.0502325	0.8250759	0.0803478	0.0443843	0.0054875	0.0238369	0.0410757	0.1460986	0.5009785
268	45.667	29.974	1.638	4.015	17.529	14.317	17.379	14.478	9.122	11.304	-5.675	8.952	0.1820931	0.0609859	0.1807349	0.0608194	0.1832046	0.0615995	0.1822077	0.0610895	-0.0427900	0.6231440	-0.0737300	0.6147630	0.2232389	0.0722923	0.0418250	0.0652615	0.0981250	0.1607220	0.1934742
269	40.845	30.001	7.104	9.453	14.222	13.307	16.482	14.500	3.037	7.217	3.226	14.204	0.1182932	0.0735541	0.1325816	0.0737112	0.1180293	0.0709126	0.1330142	0.0722656	-0.0185503	0.8014309	-0.0556201	0.7805660	0.2593456	0.1169970	0.1339082	0.1087040	0.3334073	0.2395427	0.1566063
270	60.046	42.995	0.492	2.619	18.274	17.913	18.070	16.493	23.211	22.193	-8.322	4.157	0.2738403	0.1217646	0.2760628	0.1164833	0.2739771	0.1197551	0.2762232	0.1143594	-0.0151359	0.7034142	-0.0206221	0.7004969	0.2883618	0.1043999	0.0134101	0.0719790	0.0233754	0.1255153	0.4126821
271	2.274	7.295	0.540	5.442	0.745	1.965	0.403	0.865	0.586	2.819	-8.806	2.343	0.0086092	0.0181356	0.0059770	0.0124484	0.0086440	0.0175987	0.0060328	0.0123996	-0.0609695	0.6792241	-0.0570838	0.6029932	0.0135975	0.0536879	0.0063045	0.0500298	0.0421894	0.1992239	0.5314219
