spA	spB	bialsites_avg	bialsites_std	sf_avg	sf_std	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	Wald_avg	Wald_std	piA_avg	piA_std	piB_avg	piB_std	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	FST_avg	FST_std	corr_pi	pSIv1	pSIv2	pIMHomov1	pIMHomov2	pIMHeterov1	pIMHeterov2	pAMHomov1	pAMHomov2	pAMHeterov1	pAMHeterov2	pSCHomov1	pSCHomov2	pSCHeterov1	pSCHeterov2	pPanmixiav1	pPanmixiav2
Ostrea_edulisATLdan	Ostrea_edulisATLfr	3.242	1.555	0.021	0.144	0.789	1.081	1.189	1.249	1.242	1.294	-9	0	0.013077	0.012792	0.014525	0.0105497	0.0129928	0.0121322	0.0147507	0.0104279	-0.0588295	0.8797131	-0.1358618	0.8024788	0.0138544	0.0098488	0.0000534	0.004144	0.0030693	0.1399608	0.4184131	0.00134	0.00008	0.32264	0.02364	0.0158	0.00114	0.00324	0.00009	0.0014	0.00011	0.24277	0.01763	0.01683	0.0009	0.3362	0.0162
Ostrea_edulisATL	Ostrea_edulisMED	3.379	1.586	0.021	0.144	0.768	0.962	1.358	1.398	1.232	1.308	-9	0	0.01273	0.0125573	0.0139695	0.0096588	0.0125793	0.0119621	0.0143578	0.0098646	-0.0056829	0.8757182	-0.2135143	0.8037089	0.0134505	0.0082623	0.0001008	0.0033851	0.0184235	0.1395521	0.4066449	0.00083	0.00006	0.48324	0.01997	0.05099	0.00224	0.00234	0.00012	0.0014	0.00007	0.33956	0.01455	0.0411	0.00161	0.04059	0.00133
Ostrea_edulisMED	Ostrea_chilensis	6.253	4.276	4.433	3.585	1.043	1.403	0.769	1.32	0.007	0.085	-8.3	3.516	0.0080356	0.0104488	0.0057923	0.0091951	0.0082454	0.0106733	0.0057042	0.0089997	-0.1136152	0.6128403	0.0779364	0.7220234	0.0742584	0.0532575	0.0673444	0.0526212	0.8256636	0.1847941	0.1268005	0.0172	0.1203	0.00001	0.00006	0.00116	0.0031	0.13532	0.16672	0.232	0.31999	0.00006	0.00023	0.00076	0.00306	0.00001	0.00001
Pectinaria_koreniSUD	Pectinaria_koreniNOR	8.123	5.535	3.908	3.782	3.108	2.359	1	1.075	0.108	0.359	-5.277	7.305	0.0276677	0.023607	0.0086846	0.0089792	0.028193	0.024889	0.0089769	0.0093362	-0.1229436	0.6965348	-0.1506852	0.626286	0.080306	0.0427994	0.0621299	0.0413098	0.6282506	0.2102127	0.3208777	0.02419	0.0055	0	0	0.00002	0.00002	0.48082	0.18877	0.23652	0.06362	0.00001	0.00001	0.00042	0.0001	0	0
Sepia_officinalisBRE	Sepia_officinalisITA	2.826	1.543	0.308	0.671	1.352	1.523	0.895	0.994	0.271	0.647	-9	0	0.0064179	0.0062263	0.0048146	0.006153	0.0065172	0.0063921	0.0047869	0.0059458	-0.0407112	0.8370061	-0.034254	0.778734	0.0111119	0.0083802	0.0054956	0.0071539	0.3091669	0.2746789	-0.1579353	0.00105	0.00035	0.03433	0.01249	0.50214	0.06249	0.00509	0.00171	0.00078	0.00088	0.01848	0.0093	0.30596	0.04478	0.00005	0.00012
Sepia_officinalisSET	Sepia_officinalisBRE	2.951	1.605	0.24	0.607	1.016	1.17	0.872	1.155	0.822	1.391	-9	0	0.007421	0.0072817	0.0066171	0.0066203	0.0073336	0.0070801	0.0067859	0.0067532	0.0914736	0.9346761	-0.1052573	0.7806757	0.0107544	0.0079043	0.0037353	0.0064989	0.2138875	0.2761806	0.3764119	0.00372	0.00035	0.13685	0.06619	0.36126	0.04014	0.01583	0.00534	0.00088	0.00084	0.04987	0.03929	0.23306	0.02556	0.00943	0.0114
Sepia_officinalisSET	Sepia_officinalisITA	2.765	1.507	0.09	0.35	1.46	1.631	0.735	1	0.48	0.826	-9	0	0.0075271	0.0065212	0.0047594	0.006268	0.0074927	0.0063684	0.0047667	0.0061164	0.0476418	0.9553223	-0.0490303	0.7524517	0.008345	0.0059361	0.0022017	0.0046069	0.1381407	0.2192797	-0.2503025	0.00034	0.0007	0.47298	0.04201	0.02639	0.01253	0.02051	0.00146	0.00072	0.00091	0.34641	0.04083	0.02178	0.01241	0.00001	0
Artemia_franciscana	Artemia_sinica	14.797	12.333	12.73	11.135	1.417	1.756	0.642	1.104	0.008	0.088	-6.67	6.511	0.007047	0.0087147	0.0034327	0.0064656	0.0069518	0.0083656	0.0034041	0.0061156	0.0759113	0.7854909	-0.0374326	0.5861474	0.1191869	0.07595	0.1139469	0.0749146	0.9195305	0.086537	0.0899658	0.03802	0.07806	0	0.00001	0.00004	0.00058	0.18333	0.14917	0.28439	0.26548	0	0.00001	0.00005	0.00085	0	0
CioneB_france	CioneB_canada	5.391	4.665	0.038	0.224	1.886	2.09	1.776	2.096	1.689	1.945	-9	0	0.0302616	0.0259838	0.0291314	0.0259688	0.0304776	0.0260428	0.0291611	0.0261929	-0.0606816	0.7192289	0.0116088	0.7748282	0.0317005	0.0254193	0.002004	0.0076334	0.0346781	0.1421739	0.696532	0.00002	0.00888	0.00098	0.30984	0.00103	0.30369	0.00004	0.0336	0.00004	0.01364	0.00083	0.15693	0.00079	0.16666	0.00048	0.00258

